system:index,S1_VH,S1_VV,S1_VV_div_VH,.geo
0,-22.772999868658836,-12.475163462694109,10.709856223358965,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.88831356763512,37.46670929123597]}"
1,-21.39712283466753,-14.558531016877716,4.829021975766541,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.89424244851031,37.468685584861035]}"
2,-22.073685087624412,-12.788994166750935,8.481430195781511,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.85103348334417,37.468685584861035]}"
3,-23.448293545359792,-17.57425473001814,3.867264544958684,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.88391182274295,37.47479412879305]}"
4,-16.14978210094323,-9.355913024385472,4.779548882212612,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.84797921137816,37.47650092783287]}"
5,-15.492938325968233,-10.269144169485681,3.329503039135934,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.89523059532284,37.48961633098102]}"
6,-13.09056544211366,-7.127744778170618,3.947135781576694,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.8497758419464,37.495365548799384]}"
7,-14.50744249849986,-7.133405057103758,5.4626546365623785,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.82830610665594,37.49931813604951]}"
8,-21.766840062486317,-14.843527874454209,4.924149374309344,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.8693591151402,37.508750446532765]}"
9,-23.486944618494878,-14.627908600161852,7.6895973920809215,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.8903796927886,37.51665562103302]}"
10,-21.02949632057169,-13.834636673610657,5.2418666034201165,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.9046629058061,37.52527944776057]}"
11,-15.890188386824644,-9.948937683714647,3.927580275481882,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.8813965399474,37.531387991692576]}"
12,-16.482125893063785,-10.704467158201389,3.7823862273251843,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.8918169972432,37.53471175824382]}"
13,-19.04218198991041,-14.074348785553251,3.1389422122436463,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.81707716560445,37.54576103623849]}"
14,-23.888381616704102,-16.96625342579745,4.922807109028022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.58126940352308,37.09759154099126]}"
15,-19.72106287781387,-12.364241937723897,5.4410421969901845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.55953017364737,37.10118480212774]}"
16,-16.739226690151526,-9.748336524935464,5.001370366178132,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.61181212318314,37.105586547019925]}"
17,-22.072627480347986,-13.253869769485242,7.618610502943144,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.57084894622729,37.10711368300293]}"
18,-21.17619534411405,-13.087406040518424,6.43989713448667,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.56509972840892,37.10738317758816]}"
19,-10.525724038530043,-5.029652496770976,3.544925840170611,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.60678155759207,37.123013863531845]}"
20,-21.87389791233327,-13.087139133512476,7.562682671578702,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.57129810386935,37.126337630083086]}"
21,-20.686231381919068,-8.277909913562128,17.411338017426594,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.58935424108014,37.12912240746385]}"
22,-13.634535853740157,-9.02355385475076,2.89133357836986,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.60417644326812,37.13352415235604]}"
23,-13.635227953296972,-7.325576462665394,4.2752857678341005,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.55701489085185,37.13891404406076]}"
24,-19.767281288276184,-13.321701229334906,4.411212768917934,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.62762247218365,37.13936320170282]}"
