system:index,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,S1_VH,S1_VV,S1_VV_div_VH,bare,built,crops,dw_label,flooded_vegetation,grass,latitude,longitude,region,shrub_and_scrub,snow_and_ice,trees,water,year,.geo
0,0.019930795847750864,-0.1085121107266436,-0.14769703960015382,-0.09842368319876971,0.006151480199923107,0.05173394848135333,0.07972318339100345,0.16633602460592078,0.05536332179930796,0.03543252595155709,0.186082276047674,-0.09356401384083046,-0.07111111111111111,-0.2069357939254133,0.09842368319876971,-0.03844675124951941,0.11909265667051133,-0.09356401384083046,0.006151480199923107,-0.03543252595155709,0.11909265667051133,0.16633602460592078,-0.0629911572472126,0.17279507881584008,-0.1085121107266436,-0.14173010380622836,0.03254133025759323,-0.21413302575932336,0.1085121107266436,-0.05173394848135333,-0.1929104190695886,0.3014225297962323,0.13016532103037293,-0.08882737408688965,-0.09842368319876971,0.03254133025759323,0.17279507881584008,0.002214532871972318,-0.07535563244905807,0.07111111111111111,-0.04822760476739715,-0.28444444444444444,0.17937716262975778,0.07535563244905807,-0.002214532871972318,0.16000000000000003,-0.1929104190695886,0.08421376393694734,-0.0629911572472126,0.012056901191849288,0.01574778931180315,0.13016532103037293,-0.11909265667051133,-0.05173394848135333,-0.0271280276816609,-0.08421376393694734,-0.08882737408688965,0.08882737408688965,0.007443291041906958,-0.03543252595155709,0.08421376393694734,-0.2364628988850442,-5.536332179930795E-4,0.3188927335640138,-30.695717818775634,-18.221084739919597,12.474633078856037,0.033089444015382066,0.027208334404147334,0.028867421801098518,0,0.0430801823924951,0.028025112235573708,37.77393311840485,-122.5697755421682,sf_bay_urban,0.029605977478678578,0.028984164862238145,0.03612065197968924,0.7449827335291991,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.5697755421682,37.77393311840485]}"
1,0.024605920799692427,-0.08882737408688965,-0.16000000000000003,-0.09356401384083046,0.01574778931180315,0.05173394848135333,0.09842368319876971,0.17937716262975778,0.08882737408688965,0.03543252595155709,0.15378700499807765,-0.09356401384083046,-0.05911572472126105,-0.19986159169550174,0.1085121107266436,-0.044844290657439445,0.10340638216070744,-0.10340638216070744,0.0015378700499807767,-0.04822760476739715,0.10340638216070744,0.14173010380622836,-0.07535563244905807,0.17279507881584008,-0.07535563244905807,-0.14173010380622836,0.05173394848135333,-0.24415224913494812,0.11374086889657825,-0.06698961937716265,-0.2288965782391388,0.3188927335640138,0.09356401384083046,-0.07972318339100345,-0.11909265667051133,0.019930795847750864,0.17279507881584008,-0.008858131487889272,-0.041584006151480196,0.08421376393694734,-0.03543252595155709,-0.2679584775086506,0.186082276047674,0.0629911572472126,0.006151480199923107,0.186082276047674,-0.1929104190695886,0.06698961937716265,-0.08421376393694734,-0.017777777777777778,-0.008858131487889272,0.12456747404844293,-0.08882737408688965,-0.01574778931180315,-0.04822760476739715,-0.07972318339100345,-0.07972318339100345,0.07972318339100345,0.01574778931180315,-0.06698961937716265,0.10340638216070744,-0.21413302575932336,0.041584006151480196,0.31009611687812383,-32.15983135088247,-21.748587673516546,10.411243677365924,0.05578018599189818,0.03264848439333339,0.0304946294054389,0,0.044223824089082577,0.026379039029901227,37.33277048237375,-122.44374190780623,sf_bay_urban,0.040042389354978995,0.06588536268100142,0.043037931869427365,0.6614742234659692,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.44374190780623,37.33277048237375]}"
2,-0.004982698961937716,-0.16000000000000003,-0.16000000000000003,-0.09842368319876971,0.01574778931180315,0.019930795847750864,0.09842368319876971,0.12456747404844293,0.041584006151480196,0.010396001537870049,0.16633602460592078,-0.11909265667051133,-0.05536332179930796,-0.2288965782391388,0.07972318339100345,-0.01384083044982699,0.13016532103037293,-0.09842368319876971,-0.019930795847750864,-0.012056901191849288,0.10340638216070744,0.14173010380622836,-0.0629911572472126,0.16000000000000003,-0.12456747404844293,-0.10340638216070744,0.010396001537870049,-0.1929104190695886,0.14173010380622836,-0.0271280276816609,-0.19986159169550174,0.2519646289888504,0.11909265667051133,-0.08882737408688965,-0.10340638216070744,-9.84236831987697E-4,0.13016532103037293,-0.06698961937716265,-0.09842368319876971,0.15378700499807765,-0.07111111111111111,-0.2599000384467512,0.2069357939254133,0.03844675124951941,-0.041584006151480196,0.1929104190695886,-0.17279507881584008,0.11909265667051133,-0.07972318339100345,-0.03844675124951941,-0.012056901191849288,0.13016532103037293,-0.186082276047674,-0.019930795847750864,-0.022206843521722412,-0.08421376393694734,-0.06698961937716265,0.13016532103037293,0.05536332179930796,-0.029773164167627833,0.04822760476739715,-0.2288965782391388,0.01384083044982699,0.31009611687812383,-29.47232195285367,-20.570302298528976,8.902019654324693,0.03339233087109668,0.028300059041274445,0.028212974380169595,0,0.04208765542799873,0.028672648573826467,37.80860808837186,-122.45146741924965,sf_bay_urban,0.029498824570327997,0.028125732618251017,0.035580056606392775,0.7460962295465704,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.45146741924965,37.80860808837186]}"
3,0.041584006151480196,-0.17279507881584008,-0.11909265667051133,-0.07111111111111111,0.01384083044982699,0.05173394848135333,0.07111111111111111,0.11909265667051133,-0.03254133025759323,0.0271280276816609,0.17937716262975778,-0.09356401384083046,-0.0629911572472126,-0.2519646289888504,0.06698961937716265,-0.017777777777777778,0.08421376393694734,-0.15378700499807765,-0.010396001537870049,-0.07111111111111111,0.044844290657439445,0.11909265667051133,-0.05173394848135333,0.16633602460592078,-0.07111111111111111,-0.05536332179930796,0.019930795847750864,-0.19986159169550174,0.1085121107266436,-0.041584006151480196,-0.19986159169550174,0.2519646289888504,0.17279507881584008,-0.09842368319876971,-0.1085121107266436,0.03844675124951941,0.16633602460592078,-0.022206843521722412,-0.08882737408688965,0.09842368319876971,-0.08882737408688965,-0.21413302575932336,0.24415224913494812,0.05536332179930796,0.017777777777777778,0.2069357939254133,-0.22145328719723184,0.13588619761630144,-0.07972318339100345,-0.05536332179930796,0.05911572472126105,0.16000000000000003,-0.13016532103037293,-0.07535563244905807,-0.019930795847750864,-0.019930795847750864,-0.07111111111111111,0.13588619761630144,0.05536332179930796,-0.044844290657439445,0.0629911572472126,-0.16633602460592078,-0.03844675124951941,0.33685505574778934,-30.176508714083454,-19.65915011851169,10.517358595571764,0.03345463440055028,0.026976952224504202,0.028362097078934313,0,0.042464161838870494,0.02922701559145935,37.72704106057381,-122.26425851403914,sf_bay_urban,0.029319731664145365,0.0283313809952233,0.03617170436191373,0.7456565077591222,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.26425851403914,37.72704106057381]}"
4,0.041584006151480196,-0.17937716262975778,-0.08882737408688965,-0.044844290657439445,0.0271280276816609,0.044844290657439445,0.10340638216070744,0.14173010380622836,-0.004982698961937716,-0.01384083044982699,0.16000000000000003,-0.09842368319876971,-0.044844290657439445,-0.24415224913494812,0.07111111111111111,-0.03254133025759323,0.08421376393694734,-0.16000000000000003,-0.010396001537870049,-0.05911572472126105,0.06698961937716265,0.08421376393694734,-0.07111111111111111,0.13016532103037293,-0.07111111111111111,-0.0629911572472126,0.04822760476739715,-0.1929104190695886,0.13588619761630144,-0.017777777777777778,-0.186082276047674,0.21413302575932336,0.14769703960015382,-0.08882737408688965,-0.08421376393694734,0.0629911572472126,0.16000000000000003,-0.0629911572472126,-0.11374086889657825,0.09842368319876971,-0.08421376393694734,-0.24415224913494812,0.2364628988850442,0.019930795847750864,-0.012056901191849288,0.2069357939254133,-0.24415224913494812,0.14769703960015382,-0.11374086889657825,-0.0629911572472126,0.024605920799692427,0.16633602460592078,-0.16633602460592078,-0.0629911572472126,-0.024605920799692427,-0.07535563244905807,-0.04822760476739715,0.13016532103037293,0.05911572472126105,-0.05536332179930796,0.0629911572472126,-0.16633602460592078,-0.022206843521722412,0.34602076124567477,-34.867704605808186,-20.7388252428835,14.128879362924685,0.034682221748438234,0.02697699793891327,0.028710981906467193,0,0.04232966513498812,0.029682760441524757,37.60738546472909,-122.17658294230908,sf_bay_urban,0.02992086869513465,0.028886127927516762,0.03574029612354934,0.7430371375804817,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.17658294230908,37.60738546472909]}"
5,-0.03254133025759323,-0.17937716262975778,-0.05536332179930796,0.06698961937716265,0.004982698961937716,0.0629911572472126,-0.11374086889657825,0.0629911572472126,-0.0271280276816609,0.05536332179930796,0.1085121107266436,-0.17937716262975778,-0.17279507881584008,-0.2288965782391388,-0.041584006151480196,-0.017777777777777778,-0.13588619761630144,-0.08421376393694734,-0.16000000000000003,-0.029773164167627833,-0.04822760476739715,0.03543252595155709,-0.2599000384467512,0.2288965782391388,-0.008858131487889272,0.07535563244905807,-0.13588619761630144,-0.05173394848135333,0.186082276047674,-0.0629911572472126,-0.09842368319876971,-0.022206843521722412,0.12456747404844293,-0.08882737408688965,-0.10340638216070744,0.08882737408688965,0.11909265667051133,0.024605920799692427,-0.22145328719723184,0.13588619761630144,0.003014225297962322,-0.09356401384083046,0.07111111111111111,-0.09356401384083046,0.17937716262975778,0.11374086889657825,0.044844290657439445,-0.05911572472126105,0.0271280276816609,0.09356401384083046,-0.19986159169550174,0.15378700499807765,0.029773164167627833,0.10340638216070744,-0.16633602460592078,-0.1929104190695886,0.21413302575932336,-0.14769703960015382,-0.022206843521722412,-0.08882737408688965,0.1085121107266436,-0.2679584775086506,0.21413302575932336,0.09356401384083046,-18.48086274952043,-12.903879608107673,5.576983141412757,0.05659323313587962,0.03751343627182114,0.09310150359660484,0,0.08898104874526042,0.11021551158726699,37.90894990560801,-122.22697842974819,sf_bay_urban,0.15673457660603446,0.041715254075825214,0.12993730599508174,0.28516817102571584,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.22697842974819,37.90894990560801]}"
6,-0.01384083044982699,-0.13016532103037293,-0.17279507881584008,-0.07972318339100345,0.022206843521722412,0.03844675124951941,0.07972318339100345,0.13588619761630144,0.05911572472126105,0.05536332179930796,0.13588619761630144,-0.14173010380622836,-0.04822760476739715,-0.2288965782391388,0.07972318339100345,0.008858131487889272,0.11374086889657825,-0.1085121107266436,0.008858131487889272,0.003014225297962322,0.09842368319876971,0.15378700499807765,-0.09356401384083046,0.16000000000000003,-0.10340638216070744,-0.09842368319876971,0.05911572472126105,-0.22145328719723184,0.11909265667051133,-0.08421376393694734,-0.21413302575932336,0.2761399461745483,0.13016532103037293,-0.06698961937716265,-0.1085121107266436,0.03543252595155709,0.14769703960015382,-0.03844675124951941,-0.09842368319876971,0.14769703960015382,-0.09842368319876971,-0.2364628988850442,0.1929104190695886,0.03254133025759323,-0.029773164167627833,0.17279507881584008,-0.17937716262975778,0.10340638216070744,-0.09356401384083046,-0.07111111111111111,0.008858131487889272,0.10340638216070744,-0.13016532103037293,-0.010396001537870049,-0.03844675124951941,-0.09842368319876971,-0.03844675124951941,0.15378700499807765,0.05536332179930796,-0.03254133025759323,0.03844675124951941,-0.2364628988850442,0.022206843521722412,0.31009611687812383,-30.362297551098116,-21.074274449676132,9.288023101421985,0.062461399539772956,0.040592788851686885,0.03175906795742256,0,0.04317173761581736,0.029133934467764838,37.42906988083136,-122.44517921226081,sf_bay_urban,0.03363380960987083,0.0629318307819111,0.03501306023847844,0.6612689259728151,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.44517921226081,37.42906988083136]}"
7,0.03543252595155709,-0.2364628988850442,-0.1929104190695886,-0.07535563244905807,0.010396001537870049,-0.017777777777777778,0.044844290657439445,0.09356401384083046,-0.019930795847750864,0.05911572472126105,0.16633602460592078,-0.09356401384083046,-0.08421376393694734,-0.2599000384467512,0.03254133025759323,-0.13016532103037293,0.17937716262975778,-0.01384083044982699,-0.10340638216070744,0.03543252595155709,0.08421376393694734,0.08882737408688965,-0.17937716262975778,0.14769703960015382,-0.11909265667051133,0.03254133025759323,-0.05911572472126105,-0.03844675124951941,0.2069357939254133,0.01384083044982699,-0.17937716262975778,0.03254133025759323,0.14769703960015382,-0.13588619761630144,0.03254133025759323,0.0629911572472126,0.07972318339100345,-0.07111111111111111,-0.14769703960015382,0.13588619761630144,-0.11374086889657825,-0.3188927335640138,0.12456747404844293,0.0271280276816609,0.022206843521722412,0.19986159169550174,-0.12456747404844293,0.13016532103037293,-0.13016532103037293,0.008858131487889272,-0.09842368319876971,0.15378700499807765,-0.09356401384083046,0.01574778931180315,0.0015378700499807767,-0.07972318339100345,-0.01574778931180315,0.11374086889657825,0.029773164167627833,-0.05536332179930796,0.08421376393694734,-0.2761399461745483,0.041584006151480196,0.2761399461745483,-18.777716403488093,-10.47747893323605,8.300237470252043,0.03514031799568329,0.026486948624369688,0.0284914223710075,0,0.03957025937561411,0.027565799801959657,37.935001048847475,-122.43889100527198,sf_bay_urban,0.0337681620992953,0.03268246171355713,0.030123106896644457,0.7461378553824034,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.43889100527198,37.935001048847475]}"
8,0.04822760476739715,-0.3278123798539023,0.07972318339100345,-0.01574778931180315,0.0015378700499807767,-0.06698961937716265,-0.11374086889657825,0.05173394848135333,0.0629911572472126,-0.0271280276816609,0.16000000000000003,-0.08421376393694734,-0.12456747404844293,-0.2679584775086506,0.05536332179930796,-0.13016532103037293,0.10340638216070744,0.08421376393694734,-0.11909265667051133,-0.03254133025759323,0.07972318339100345,0.21413302575932336,-0.17279507881584008,0.13016532103037293,-0.186082276047674,0.09842368319876971,-0.08882737408688965,-0.007443291041906958,0.2364628988850442,-0.03254133025759323,9.84236831987697E-4,-0.11909265667051133,0.04822760476739715,-0.1085121107266436,-0.07972318339100345,0.05536332179930796,0.07111111111111111,0.14173010380622836,-0.14769703960015382,0.08421376393694734,-0.09356401384083046,-0.22145328719723184,0.05536332179930796,-0.022206843521722412,0.11374086889657825,0.14769703960015382,-0.11909265667051133,0.12456747404844293,0.07535563244905807,0.003014225297962322,-0.16633602460592078,0.2599000384467512,-0.044844290657439445,0.11909265667051133,-0.13016532103037293,-0.186082276047674,0.12456747404844293,-0.0629911572472126,0.029773164167627833,0.01574778931180315,0.14173010380622836,-0.1929104190695886,0.03543252595155709,0.09356401384083046,-20.585718145923007,-12.824969052870038,7.760749093052969,0.04870899472167933,0.203527897197221,0.07791152906712967,0,0.04787347367178504,0.059321934832018114,37.88119196332872,-122.47123035550028,sf_bay_urban,0.05372016700952278,0.04020266320749924,0.040146151345900515,0.42854372927217516,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.47123035550028,37.88119196332872]}"
9,0.05911572472126105,-0.14173010380622836,-0.041584006151480196,0.022206843521722412,-0.04822760476739715,0.07111111111111111,0.07972318339100345,0.14769703960015382,-0.07972318339100345,0.08882737408688965,0.21413302575932336,-0.05536332179930796,-0.041584006151480196,-0.186082276047674,0.012056901191849288,0.010396001537870049,0.03844675124951941,-0.2069357939254133,-0.05911572472126105,-0.10340638216070744,0.03543252595155709,0.010396001537870049,-0.1085121107266436,0.13588619761630144,-0.12456747404844293,-0.022206843521722412,0.006151480199923107,-0.16000000000000003,0.14769703960015382,-0.029773164167627833,-0.21413302575932336,0.14769703960015382,0.13016532103037293,-0.12456747404844293,-0.09842368319876971,0.09842368319876971,0.14173010380622836,-0.07535563244905807,-0.14769703960015382,0.22145328719723184,-0.11909265667051133,-0.11909265667051133,0.186082276047674,-0.07535563244905807,-0.017777777777777778,0.2069357939254133,-0.21413302575932336,0.16000000000000003,-0.05911572472126105,-0.1085121107266436,-0.006151480199923107,0.2288965782391388,-0.09356401384083046,-0.09356401384083046,-0.11909265667051133,-0.16633602460592078,0.041584006151480196,0.06698961937716265,0.07111111111111111,-0.022206843521722412,0.05911572472126105,-0.19986159169550174,0.01574778931180315,0.31009611687812383,-30.45094691883245,-21.50455051885918,8.94639639997327,0.03715551955392584,0.02639246738399379,0.03375469669699669,0,0.04202521963743493,0.032242107298225166,37.466799122764385,-122.01641332715057,sf_bay_urban,0.028932697389973328,0.036163396888878194,0.030566108087077735,0.7327342405216768,2024,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-122.01641332715057,37.466799122764385]}"
