feature,target,mean_abs_shap,mean_signed_shap,shap_share_within_target,pearson_r,pearson_abs_r,pearson_p_value,shap_rank_within_target,pearson_rank_within_target,combined_rank_within_target
A27,S1_VH,3.1368989911351854,0.427270395876043,0.3164166306280933,0.9221255832776929,0.9221255832776929,0.0,1.0,1.0,1.0
A63,S1_VH,1.8900403774384387,-0.05909013743091977,0.19064694453668107,-0.87772894418995,0.87772894418995,0.0,2.0,3.0,2.5
A11,S1_VH,0.33053021413809774,-0.08380674008505705,0.033340332912827265,0.8290039643366698,0.8290039643366698,0.0,5.0,8.0,6.5
A17,S1_VH,0.1651817083290535,0.0022317903894646073,0.016661754088536138,0.829346124036652,0.829346124036652,0.0,10.0,7.0,8.5
A25,S1_VH,0.5438244299725902,0.05272775752012051,0.05485515927399998,0.8012730217748825,0.8012730217748825,0.0,3.0,15.0,9.0
A34,S1_VH,0.3061886912037931,-0.011823821645053937,0.030885021889745227,0.812974751047728,0.812974751047728,0.0,6.0,13.0,9.5
A26,S1_VH,0.46737148119526,0.2026237362416655,0.04714340810761934,-0.6328838914478063,0.6328838914478063,3.9710983696212676e-281,4.0,29.0,16.5
A02,S1_VH,0.08541169501141847,-0.030029727984029076,0.008615413128736819,0.7720584428120425,0.7720584428120425,0.0,17.0,17.0,17.0
A24,S1_VH,0.10784197690098254,-0.04026714761508748,0.010877938711993109,0.7114058314762338,0.7114058314762338,0.0,14.0,21.0,17.5
A31,S1_VH,0.03958315705586071,0.020180875434563306,0.003992723138562266,-0.8759274331345868,0.8759274331345868,0.0,31.0,4.0,17.5
A14,S1_VH,0.2862891028621489,-0.12101538578945795,0.028877765452179627,-0.6356891374114972,0.6356891374114972,2.2544355349673227e-284,8.0,28.0,18.0
A50,S1_VH,0.06695301386013038,0.02137184410610668,0.006753499910544461,-0.8180906833311448,0.8180906833311448,0.0,24.0,12.0,18.0
A43,S1_VH,0.03994220896581796,-0.009490041281847482,0.004028940433378043,-0.8509503735874664,0.8509503735874664,0.0,30.0,6.0,18.0
A44,S1_VH,0.07513221265305398,-0.0006702646873051442,0.007578529511627565,0.7537730710647605,0.7537730710647605,0.0,19.0,19.0,19.0
A46,S1_VH,0.0758754818388771,0.0738999677636558,0.007653502512700428,0.7100141257299373,0.7100141257299373,0.0,18.0,22.0,20.0
A49,S1_VH,0.28933479245111815,-0.07727437918174672,0.02918498185933973,0.5407485121000376,0.5407485121000376,1.0487340294839248e-190,7.0,36.0,21.5
A36,S1_VH,0.022751823970012703,0.016767988349719883,0.0022949592899163466,-0.864205303579408,0.864205303579408,0.0,44.0,5.0,24.5
A19,S1_VH,0.1681395497204582,-0.05507324268736213,0.016960109314396277,0.43823479299664264,0.43823479299664264,2.364456322515341e-118,9.0,42.0,25.5
A05,S1_VH,0.03912319884711303,0.006948466486483873,0.003946327501644098,-0.7523018344472847,0.7523018344472847,0.0,32.0,20.0,26.0
A30,S1_VH,0.018505970670108826,-0.006822421919716664,0.0018666832762183143,0.8822015287679844,0.8822015287679844,0.0,52.0,2.0,27.0
A39,S1_VH,0.09160060490491806,-0.011370084365917054,0.009239683792630063,-0.4703257770014091,0.4703257770014091,2.082348158624902e-138,16.0,40.0,28.0
A56,S1_VH,0.022201097032808478,-0.011234590282758328,0.0022394078799542333,0.8241630345538262,0.8241630345538262,0.0,46.0,10.0,28.0
A53,S1_VH,0.036964073516912936,0.001966616626842471,0.003728538161274407,0.694589395790925,0.694589395790925,0.0,33.0,24.0,28.5
A32,S1_VH,0.036169731029918745,0.0027519489473400837,0.003648413434909378,-0.6986551916573258,0.6986551916573258,0.0,34.0,23.0,28.5
A29,S1_VH,0.10471394778066449,-0.004738811479047898,0.010562416778531229,0.410386031077245,0.410386031077245,1.2879011202377586e-102,15.0,43.0,29.0
A35,S1_VH,0.056842995717358645,0.000454864050092513,0.005733710020795071,-0.5967855442174164,0.5967855442174164,3.4986111817757738e-242,25.0,33.0,29.0
A55,S1_VH,0.022669035110001446,-0.002254601651622273,0.002286608440171955,-0.8012890554441169,0.8012890554441169,0.0,45.0,14.0,29.5
A10,S1_VH,0.045720263508442334,-0.009877966157332453,0.004611768428518854,-0.6066786547783886,0.6066786547783886,2.331366288367798e-252,29.0,31.0,30.0
A08,S1_VH,0.11539122546766095,-0.01636732060819698,0.011639425709818919,-0.24397965239894165,0.24397965239894165,2.3747265593564935e-35,12.0,51.0,31.5
A48,S1_VH,0.021318524383536055,0.0002970325670520406,0.0021503834437972273,0.7965657268098094,0.7965657268098094,0.0,47.0,16.0,31.5
A04,S1_VH,0.05369511110524078,-0.005920299630045479,0.005416185278880474,0.47644571630852917,0.47644571630852917,1.755311701610703e-142,26.0,39.0,32.5
A06,S1_VH,0.03194774495316794,0.012904667163584965,0.0032225448899739313,-0.632245036165666,0.632245036165666,2.1548853656853966e-280,36.0,30.0,33.0
A61,S1_VH,0.017270728800279782,-0.002956676626480881,0.001742085362301867,0.8195079389991764,0.8195079389991764,0.0,56.0,11.0,33.5
A37,S1_VH,0.07017417341054376,-0.01580788987761326,0.0070784158401098135,0.3246981144755423,0.3246981144755423,9.774147470046192e-63,21.0,47.0,34.0
A59,S1_VH,0.12401967206738489,-0.030546506790758727,0.012509770597669794,0.06294156902254172,0.06294156902254172,0.001601941637466558,11.0,59.0,35.0
A57,S1_VH,0.015427207387047202,-0.0025906210217882582,0.0015561307505294615,-0.8245957009336332,0.8245957009336332,0.0,61.0,9.0,35.0
A45,S1_VH,0.11449660589762355,-0.00030528962887360205,0.011549186109868412,-0.07800356419179255,0.07800356419179255,9.12451007937222e-05,13.0,58.0,35.5
A58,S1_VH,0.07160323425145021,-0.028817611359979827,0.007222564127166559,-0.22496111816981484,0.22496111816981484,3.5694546194206795e-30,20.0,52.0,36.0
A12,S1_VH,0.06954625165530742,0.009818152681867212,0.0070150778471902335,-0.24509627272052886,0.24509627272052886,1.1407699756669667e-35,22.0,50.0,36.0
A18,S1_VH,0.04820082321375479,0.008000757986154456,0.004861980611392726,-0.3833261870816639,0.3833261870816639,1.0767657027385103e-88,28.0,44.0,36.0
A52,S1_VH,0.05329245212336794,-0.01771200000782071,0.005375569371675175,0.28075272167264165,0.28075272167264165,1.0489704099810162e-46,27.0,49.0,38.0
A21,S1_VH,0.03372030577236726,0.0021721001554111394,0.0034013417602523246,-0.4502405270389379,0.4502405270389379,1.3219961861743778e-125,35.0,41.0,38.0
A09,S1_VH,0.026450679818202955,0.005410140124201084,0.002668060084035267,-0.4769263669254457,0.4769263669254457,8.333894295498658e-143,39.0,38.0,38.5
A42,S1_VH,0.016404410984267915,0.005381334573266931,0.0016547005388918008,-0.7690409930658404,0.7690409930658404,0.0,59.0,18.0,38.5
A00,S1_VH,0.019532573294440452,-0.003810399605701179,0.0019702359071136497,0.6483006719993953,0.6483006719993953,2.160405994263601e-299,51.0,27.0,39.0
A41,S1_VH,0.021201308830400514,-0.0023598179375832686,0.002138559999534225,0.5941631942467461,0.5941631942467461,1.5211240229045889e-239,48.0,34.0,41.0
A62,S1_VH,0.06871102077968065,0.0067137207395110325,0.0069308287399638836,0.059656839267921494,0.059656839267921494,0.0027845529987756833,23.0,60.0,41.5
A03,S1_VH,0.01816286229943036,-0.0073000733685079635,0.0018320741941607861,0.6018237485334399,0.6018237485334399,2.547304490428693e-247,54.0,32.0,43.0
A13,S1_VH,0.015703730003361453,0.0021694443320994044,0.001584023377864254,0.661657040032267,0.661657040032267,4.2560376e-316,60.0,26.0,43.0
A15,S1_VH,0.026037202314977595,-0.00013413988293254,0.002626352920756879,-0.2827727114454631,0.2827727114454631,2.208093020314957e-47,40.0,48.0,44.0
A54,S1_VH,0.024854938959776786,-0.0036221747028604132,0.0025070989095742208,0.3704350195796263,0.3704350195796263,1.6506768654166746e-82,43.0,45.0,44.0
A23,S1_VH,0.013054981968341872,0.004527290929076954,0.001316846165275594,-0.6819704687295216,0.6819704687295216,0.0,63.0,25.0,44.0
A60,S1_VH,0.018103223477834596,0.006881160622764386,0.0018260584712964892,0.49276030533422777,0.49276030533422777,9.322364106136339e-154,55.0,37.0,46.0
A07,S1_VH,0.017174306719022633,-0.0009043636602476453,0.001732359339833259,-0.5737210334718503,0.5737210334718503,8.708800359664263e-220,57.0,35.0,46.0
A40,S1_VH,0.03107564491596408,-0.0035901449884355474,0.003134576818281951,0.108521171293659,0.108521171293659,4.9980126658490344e-08,38.0,55.0,46.5
A51,S1_VH,0.025080854809193795,-0.004996975233360529,0.0025298868705764797,0.1756549349739414,0.1756549349739414,7.535389530916982e-19,42.0,54.0,48.0
A22,S1_VH,0.025885768158075664,0.006438026190139796,0.0026110778717915394,-0.1063335959912685,0.1063335959912685,9.250760572456063e-08,41.0,56.0,48.5
A28,S1_VH,0.031236508355955064,-0.00882852610393225,0.003150802991906615,-0.025789633172696624,0.025789633172696624,0.19639635342589903,37.0,62.0,49.5
A01,S1_VH,0.02080003058458021,0.004425947576607457,0.0020980833661310995,-0.1859821906305843,0.1859821906305843,5.613994060255187e-21,49.0,53.0,51.0
A47,S1_VH,0.015348614788594122,0.00029469912847011307,0.0015482031745172576,-0.33859518252806586,0.33859518252806586,2.1326978147821465e-68,62.0,46.0,54.0
A16,S1_VH,0.02066450943543848,0.0091700662171163,0.002084413450232802,-0.007020696886994412,0.007020696886994412,0.7251116878005001,50.0,63.0,56.5
A38,S1_VH,0.018323974241877133,-0.0014129975136545803,0.0018483254340403675,-0.03479706234740704,0.03479706234740704,0.08127488765674859,53.0,61.0,57.0
A20,S1_VH,0.011392575405637251,-0.0022583832998043295,0.001149160471604383,0.10399168151371675,0.10399168151371675,1.7644653886953073e-07,64.0,57.0,60.5
