feature,target,pearson_r,pearson_abs_r,pearson_p_value
A00,S1_VV,0.6353060972370245,0.6353060972370245,6.283916490938548e-284
A00,S1_VH,0.6483006719993953,0.6483006719993953,2.160405994263601e-299
A00,S1_VV_div_VH,-0.40699711751709416,0.40699711751709416,8.41934793987636e-101
A01,S1_VV,-0.15945184702078666,0.15945184702078666,9.16084127706851e-16
A01,S1_VH,-0.1859821906305843,0.1859821906305843,5.613994060255187e-21
A01,S1_VV_div_VH,0.16917828404878252,0.16917828404878252,1.4031090172578285e-17
A02,S1_VV,0.8018736827214109,0.8018736827214109,0.0
A02,S1_VH,0.7720584428120425,0.7720584428120425,0.0
A02,S1_VV_div_VH,-0.380573490310926,0.380573490310926,2.3799172716269655e-87
A03,S1_VV,0.48006540112641055,0.48006540112641055,6.242157842453286e-145
A03,S1_VH,0.6018237485334399,0.6018237485334399,2.547304490428693e-247
A03,S1_VV_div_VH,-0.6299966519023548,0.6299966519023548,8.030993925809454e-278
A04,S1_VV,0.408421810276295,0.408421810276295,1.4609982955237378e-101
A04,S1_VH,0.47644571630852917,0.47644571630852917,1.755311701610703e-142
A04,S1_VV_div_VH,-0.4335333521815141,0.4335333521815141,1.3651564352440565e-115
A05,S1_VV,-0.7920282817482264,0.7920282817482264,0.0
A05,S1_VH,-0.7523018344472847,0.7523018344472847,0.0
A05,S1_VV_div_VH,0.34629608354315167,0.34629608354315167,1.1584381938845667e-71
A06,S1_VV,-0.6423826136162007,0.6423826136162007,2.953451861196118e-292
A06,S1_VH,-0.632245036165666,0.632245036165666,2.1548853656853966e-280
A06,S1_VV_div_VH,0.344479143668595,0.344479143668595,6.9593770134206395e-71
A07,S1_VV,-0.647116473170577,0.647116473170577,5.958608361721331e-298
A07,S1_VH,-0.5737210334718503,0.5737210334718503,8.708800359664263e-220
A07,S1_VV_div_VH,0.16501232372652966,0.16501232372652966,8.668336192903719e-17
A08,S1_VV,-0.3083076193578659,0.3083076193578659,1.9720219617369662e-56
A08,S1_VH,-0.24397965239894165,0.24397965239894165,2.3747265593564935e-35
A08,S1_VV_div_VH,-0.0059569700858676695,0.0059569700858676695,0.7654306531963715
