trial,objective,metric,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,random_state,n_jobs,verbosity,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_best_iteration_mean,cv_best_iteration_std
2,regression,rmse,5000,0.018826002986047252,71,6,27,0.8447411578889518,0.569746930326021,0.002359277035307129,0.0067890532716984855,42,1,-1,0.7108399463229177,0.0752077604751773,2.4845648142890493,0.310482604829984,1.3526956713268121,0.0650538761221193,474.0,187.21778761645487
4,regression,rmse,5000,0.011448469784568732,122,10,66,0.7218455076693483,0.5488360570031919,0.16413094407760043,0.015876781526923997,42,1,-1,0.7134083453836492,0.060013641686606535,2.4899574334054284,0.28600184120862876,1.3977392046756647,0.06269253351842895,1362.0,346.04696213086453
12,regression,rmse,5000,0.015941242334319924,67,10,26,0.8612012640576855,0.5046555777845694,0.015937924472273574,0.10894400806517261,42,1,-1,0.7104480491032634,0.07143116201060377,2.4906438003660476,0.3034325158840044,1.357497669019239,0.056521260171209356,552.5,215.47215597380557
6,regression,rmse,5000,0.031169409812378798,30,10,63,0.9757995766256756,0.9474136752138245,0.0644932207737863,4.067908494359543,42,1,-1,0.7121034992311692,0.06409239325142747,2.4923611942920383,0.295151480414137,1.4101728464349024,0.06873126362150435,527.25,223.7916162415384
19,regression,rmse,5000,0.021141956523308872,115,9,73,0.9591292647082941,0.5852306392660565,0.0004328765882081296,0.014966336847135449,42,1,-1,0.7090080276852111,0.06801282840563791,2.499327171808935,0.26853310717886103,1.408746809160509,0.03987990788071032,751.25,227.37565283028877
11,regression,rmse,5000,0.016382285273480564,128,6,25,0.7614410185577444,0.6994762507327694,0.01664443041706696,0.0138057253884393,42,1,-1,0.7079710468834044,0.072843526323149,2.5001602672562244,0.3018605811773048,1.3720109825978606,0.05743375362702719,551.0,266.4967166777107
16,regression,rmse,5000,0.010231144695192759,50,9,37,0.6062041527976909,0.5669390895619841,0.05767458870244136,0.0038632929213336456,42,1,-1,0.7046301273277964,0.08014698115188304,2.504387838775353,0.2688868883978003,1.3673592128490524,0.06004073233308911,1304.5,777.1812851581026
1,regression,rmse,5000,0.034902854606300035,93,3,78,0.9329770563201687,0.6061695553391381,0.0007151383480402494,0.0008260808399079611,42,1,-1,0.7081587439167336,0.06108617114323354,2.510210302683575,0.26421235766703866,1.4352360800800847,0.04924946286071791,921.25,249.7632629111015
8,regression,rmse,5000,0.01793532053620138,73,4,65,0.6298202574719083,0.9934434683002586,0.42535839337376785,0.0009853225172032562,42,1,-1,0.7075086285446561,0.06260533381219623,2.5138684309513297,0.29459569615263664,1.4279903506693106,0.060971898194177206,1067.75,342.85592819725315
3,regression,rmse,5000,0.025815006344207535,103,4,44,0.836965827544817,0.5232252063599989,0.071587143831198,0.0007122305833333872,42,1,-1,0.7021700648803173,0.08066930748469574,2.5157129031006025,0.2847787396925575,1.3966654482121716,0.057609511560663365,637.75,190.60085912712987
14,regression,rmse,5000,0.021358409065390698,49,7,35,0.7926819325261493,0.651723150444279,0.0015174931124652385,0.00011740922767191687,42,1,-1,0.7009738464622002,0.0847359047548866,2.5158457181233103,0.2835024855564225,1.362450609316388,0.06905617763124457,563.5,315.1638462768215
9,regression,rmse,5000,0.01011549101545285,106,8,60,0.9085081386743783,0.5370223258670452,0.0048352585996829555,0.00037961668958008145,42,1,-1,0.7024738122832341,0.0768231006561935,2.518657423135524,0.2762883025540077,1.3973589362934535,0.06206985076821141,1596.5,416.8431959382329
7,regression,rmse,5000,0.012020338353108924,31,3,29,0.7554709158757927,0.6356745158869479,0.7838134236608695,0.0060780830996819525,42,1,-1,0.7035709148009317,0.0685899196868653,2.5244200990132497,0.2918480048101716,1.384700172683628,0.049228780559673085,1318.0,311.28845144013934
5,regression,rmse,5000,0.012888771013236352,67,3,74,0.7035119926400067,0.831261142176991,0.0029155533757373392,0.039841905944346875,42,1,-1,0.7013266249376484,0.06573395018391011,2.5369962424299297,0.2793005901043365,1.425312389364988,0.04046187463334164,1372.75,332.7404205983998
0,regression,rmse,5000,0.021789307659775742,123,8,50,0.6624074561769746,0.5779972601681014,0.00018747059221802545,2.142302175774105,42,1,-1,0.6941886224492397,0.08363701852663823,2.548765258637772,0.2842251141680736,1.3976189721452834,0.0778504904220206,744.0,299.2265028368978
17,regression,rmse,5000,0.07041333293984327,89,7,18,0.6964233066258478,0.6707750474677463,0.007514943983937671,0.04143735164913587,42,1,-1,0.6951602568686313,0.0732802963251425,2.5550583585313174,0.2675492458861729,1.4008676822358366,0.047033985693598075,322.5,400.0565585014199
10,regression,rmse,5000,0.060549790819805306,8,6,6,0.8277250010609204,0.7215398984003512,3.235444438857017,0.21591925616131669,42,1,-1,0.6944215301424621,0.07355864246666628,2.557892282789892,0.24906217919918403,1.3851358132229605,0.053327307800303037,341.5,186.30955423702778
18,regression,rmse,5000,0.014894028162358125,46,5,53,0.7898318533513629,0.7533881284358336,4.751011509212462,0.22708311173103007,42,1,-1,0.6902045294174557,0.08033681545389268,2.57194650023042,0.30888223899482303,1.4149345316179534,0.06828966293988888,821.25,192.17748957669315
15,regression,rmse,5000,0.012525926678835227,113,5,52,0.8819708330406043,0.8013123222722461,0.0001457564456335047,0.9402142314661912,42,1,-1,0.6889671251522314,0.08314952044175633,2.5720917330507866,0.2771746094542928,1.4140011000721713,0.06067129145026111,1075.5,243.98514299030586
13,regression,rmse,5000,0.04297470648428649,83,8,15,0.7233403455459918,0.8304278626461433,0.2719758140744351,0.004633191610569309,42,1,-1,0.6838459364921756,0.07341241953713874,2.602542899404335,0.22865818744145064,1.416705851600923,0.06244862117055027,600.75,767.7517095389628
