region,dw_label_name,n_samples
amazon_forest,bare,80
amazon_forest,built,80
amazon_forest,crops,80
amazon_forest,flooded_vegetation,80
amazon_forest,grass,80
amazon_forest,shrub_and_scrub,80
amazon_forest,snow_and_ice,80
amazon_forest,trees,80
amazon_forest,water,80
california_coast,bare,80
california_coast,built,80
california_coast,crops,80
california_coast,flooded_vegetation,80
california_coast,grass,80
california_coast,shrub_and_scrub,80
california_coast,snow_and_ice,80
california_coast,trees,80
california_coast,water,80
iowa_ag,bare,80
iowa_ag,built,80
iowa_ag,crops,80
iowa_ag,flooded_vegetation,80
iowa_ag,grass,80
iowa_ag,shrub_and_scrub,80
iowa_ag,snow_and_ice,80
iowa_ag,trees,80
iowa_ag,water,80
sf_bay_urban,bare,80
sf_bay_urban,built,80
sf_bay_urban,crops,80
sf_bay_urban,flooded_vegetation,80
sf_bay_urban,grass,80
sf_bay_urban,shrub_and_scrub,80
sf_bay_urban,snow_and_ice,80
sf_bay_urban,trees,80
sf_bay_urban,water,80
