feature_set,target,model_name,seed,fold,r2,rmse,mae,pearson_r,n_valid
embedding_only,S1_VV,ridge,42,1,0.8897135162301336,1.3129305969495133,0.9391378094871135,0.9435894522049756,777
embedding_only,S1_VV,ridge,42,2,0.8990385971253778,1.2449780337560137,0.8932761147918041,0.948558299677283,687
embedding_only,S1_VV,ridge,42,3,0.8899216024649903,1.248378044786139,0.8765241481272564,0.9434382002272684,644
embedding_only,S1_VV,ridge,42,4,0.8752288175769605,1.3717076399042973,0.9265830026952462,0.9355990512994647,772
embedding_only,S1_VV,ridge,52,1,0.8897135162301336,1.3129305969495133,0.9391378094871135,0.9435894522049756,777
embedding_only,S1_VV,ridge,52,2,0.8990385971253778,1.2449780337560137,0.8932761147918041,0.948558299677283,687
embedding_only,S1_VV,ridge,52,3,0.8899216024649903,1.248378044786139,0.8765241481272564,0.9434382002272684,644
embedding_only,S1_VV,ridge,52,4,0.8752288175769605,1.3717076399042973,0.9265830026952462,0.9355990512994647,772
embedding_only,S1_VV,ridge,62,1,0.8897135162301336,1.3129305969495133,0.9391378094871135,0.9435894522049756,777
embedding_only,S1_VV,ridge,62,2,0.8990385971253778,1.2449780337560137,0.8932761147918041,0.948558299677283,687
embedding_only,S1_VV,ridge,62,3,0.8899216024649903,1.248378044786139,0.8765241481272564,0.9434382002272684,644
embedding_only,S1_VV,ridge,62,4,0.8752288175769605,1.3717076399042973,0.9265830026952462,0.9355990512994647,772
embedding_only,S1_VV,lightgbm,42,1,0.9173557605525444,1.1365457382374724,0.8002859381722871,0.9591408740445717,777
embedding_only,S1_VV,lightgbm,42,2,0.9266954883400004,1.0608386960639251,0.7912368098988294,0.9627156516847295,687
embedding_only,S1_VV,lightgbm,42,3,0.9118639884298221,1.1170478306808818,0.7976422685306209,0.9549254886118538,644
embedding_only,S1_VV,lightgbm,42,4,0.8945743803869033,1.2608908500636558,0.8615224923819531,0.9464049656797688,772
embedding_only,S1_VV,lightgbm,52,1,0.9173557605525444,1.1365457382374724,0.8002859381722871,0.9591408740445717,777
embedding_only,S1_VV,lightgbm,52,2,0.9266954883400004,1.0608386960639251,0.7912368098988294,0.9627156516847295,687
embedding_only,S1_VV,lightgbm,52,3,0.9118639884298221,1.1170478306808818,0.7976422685306209,0.9549254886118538,644
embedding_only,S1_VV,lightgbm,52,4,0.8945743803869033,1.2608908500636558,0.8615224923819531,0.9464049656797688,772
embedding_only,S1_VV,lightgbm,62,1,0.9173557605525444,1.1365457382374724,0.8002859381722871,0.9591408740445717,777
embedding_only,S1_VV,lightgbm,62,2,0.9266954883400004,1.0608386960639251,0.7912368098988294,0.9627156516847295,687
embedding_only,S1_VV,lightgbm,62,3,0.9118639884298221,1.1170478306808818,0.7976422685306209,0.9549254886118538,644
embedding_only,S1_VV,lightgbm,62,4,0.8945743803869033,1.2608908500636558,0.8615224923819531,0.9464049656797688,772
embedding_only,S1_VH,ridge,42,1,0.9324325743172397,1.286714394325721,0.9771227611165696,0.9657317872657045,777
embedding_only,S1_VH,ridge,42,2,0.9372260388326167,1.2376434851521112,0.9075298624899797,0.9681255495045661,687
embedding_only,S1_VH,ridge,42,3,0.9392771282862471,1.2287274895293214,0.8877428173472014,0.969548726909631,644
embedding_only,S1_VH,ridge,42,4,0.9330919657271108,1.2833191817818537,0.9684672828115558,0.9663713577837505,772
embedding_only,S1_VH,ridge,52,1,0.9324325743172397,1.286714394325721,0.9771227611165696,0.9657317872657045,777
embedding_only,S1_VH,ridge,52,2,0.9372260388326167,1.2376434851521112,0.9075298624899797,0.9681255495045661,687
embedding_only,S1_VH,ridge,52,3,0.9392771282862471,1.2287274895293214,0.8877428173472014,0.969548726909631,644
embedding_only,S1_VH,ridge,52,4,0.9330919657271108,1.2833191817818537,0.9684672828115558,0.9663713577837505,772
embedding_only,S1_VH,ridge,62,1,0.9324325743172397,1.286714394325721,0.9771227611165696,0.9657317872657045,777
embedding_only,S1_VH,ridge,62,2,0.9372260388326167,1.2376434851521112,0.9075298624899797,0.9681255495045661,687
embedding_only,S1_VH,ridge,62,3,0.9392771282862471,1.2287274895293214,0.8877428173472014,0.969548726909631,644
embedding_only,S1_VH,ridge,62,4,0.9330919657271108,1.2833191817818537,0.9684672828115558,0.9663713577837505,772
embedding_only,S1_VH,lightgbm,42,1,0.9416266310423405,1.1959715605174115,0.8822611611347445,0.9711427890539823,777
embedding_only,S1_VH,lightgbm,42,2,0.9469201970414222,1.1380738484479491,0.8667052929925215,0.9732682905862831,687
embedding_only,S1_VH,lightgbm,42,3,0.9437691811035004,1.1824060076572933,0.869861776067955,0.9715827900575196,644
