feature_set,target,model_name,fraction,seed,n_train,train_r2,train_rmse,valid_r2,valid_rmse
embedding_only,S1_VV,ridge,0.1,13,216,0.9003490148992038,1.1935769480262202,0.8217119533079613,1.6947009850675165
embedding_only,S1_VV,ridge,0.1,23,216,0.8862561226187955,1.246950203669667,0.8118289837261503,1.7410383347730378
embedding_only,S1_VV,ridge,0.1,33,216,0.8819729756739387,1.2764433592569215,0.8150193582890632,1.7262158871217126
embedding_only,S1_VV,ridge,0.2,13,396,0.8859785532302732,1.286136033105303,0.8442589440649034,1.58392103309137
embedding_only,S1_VV,ridge,0.2,23,396,0.8991223052318644,1.1879158594869867,0.8441585780688179,1.5844313230964522
embedding_only,S1_VV,ridge,0.2,33,396,0.9058925943927757,1.177794669162116,0.8473357542699266,1.568197064640729
embedding_only,S1_VV,ridge,0.4,13,792,0.9035261110231882,1.2185592274181791,0.861626826690925,1.492993506341056
embedding_only,S1_VV,ridge,0.4,23,792,0.9133911133610089,1.1229166173633653,0.8619922178442153,1.4910209880607346
embedding_only,S1_VV,ridge,0.4,33,792,0.9168601414446407,1.0971958173163352,0.8538986849716588,1.5341189372183404
embedding_only,S1_VV,ridge,0.6,13,1224,0.9064662154331268,1.200289709403685,0.8665452816208374,1.4662193106283574
embedding_only,S1_VV,ridge,0.6,23,1224,0.911732599658199,1.1416337125305962,0.8658681094609941,1.469934527970392
embedding_only,S1_VV,ridge,0.6,33,1224,0.9116025066699935,1.139427124397589,0.8649552032700802,1.4749282576023692
embedding_only,S1_VV,ridge,0.8,13,1620,0.908045788898144,1.1845293498745035,0.8680586135569194,1.4578823901183529
embedding_only,S1_VV,ridge,0.8,23,1620,0.9068578491637188,1.1739771851356549,0.8665543735068938,1.4661693651257894
embedding_only,S1_VV,ridge,0.8,33,1620,0.9067815720561889,1.1589222309506624,0.8674372756318591,1.4613110856379001
embedding_only,S1_VV,ridge,1.0,13,2016,0.9073083288315913,1.169832848772717,0.8683787638248142,1.456112570479016
embedding_only,S1_VV,ridge,1.0,23,2016,0.9073083288315913,1.169832848772717,0.8683787638248142,1.456112570479016
embedding_only,S1_VV,ridge,1.0,33,2016,0.9073083288315913,1.169832848772717,0.8683787638248142,1.456112570479016
embedding_only,S1_VV,lightgbm,0.1,13,216,0.9986285923426772,0.1400209143813583,0.7707247109729831,1.9218106388265768
embedding_only,S1_VV,lightgbm,0.1,23,216,0.9987193974871441,0.13230987860811094,0.7851216660255627,1.8604940373097263
embedding_only,S1_VV,lightgbm,0.1,33,216,0.9987590547136777,0.13088417388082002,0.7865766216265834,1.8541845738079061
embedding_only,S1_VV,lightgbm,0.2,13,396,0.9982615469311191,0.15880900242728513,0.835854991903056,1.6260946026033865
embedding_only,S1_VV,lightgbm,0.2,23,396,0.9986455893256465,0.13764590317270814,0.8222981238760505,1.6919127956524906
embedding_only,S1_VV,lightgbm,0.2,33,396,0.9984249238780404,0.15237315420802378,0.8323574785122446,1.6433272642047394
embedding_only,S1_VV,lightgbm,0.4,13,792,0.9954650402803834,0.2641973558307904,0.8712528232246676,1.4401271090345635
embedding_only,S1_VV,lightgbm,0.4,23,792,0.9959698042454256,0.24223079328663896,0.8758301046118596,1.4142953909568055
embedding_only,S1_VV,lightgbm,0.4,33,792,0.9958529317342536,0.24504739772742895,0.8636690405177843,1.4819352007666315
embedding_only,S1_VV,lightgbm,0.6,13,1224,0.9929305297007771,0.3299858111053326,0.8866982440021289,1.3509842589021142
embedding_only,S1_VV,lightgbm,0.6,23,1224,0.9934941346213548,0.3099410880774891,0.8896357486061185,1.3333561835486467
embedding_only,S1_VV,lightgbm,0.6,33,1224,0.9931568472046299,0.3170258658267667,0.8880938298115206,1.3426381554345201
embedding_only,S1_VV,lightgbm,0.8,13,1620,0.9908264035084993,0.3741362864643852,0.8956835652260227,1.2963084031942869
embedding_only,S1_VV,lightgbm,0.8,23,1620,0.9898759684259564,0.3870466129055701,0.8961395356850801,1.2934721978541026
embedding_only,S1_VV,lightgbm,0.8,33,1620,0.9905614409136783,0.36877057112502665,0.8950338303488475,1.3003391647537745
embedding_only,S1_VV,lightgbm,1.0,13,2016,0.9882976432688557,0.4156618081147213,0.8995870510409942,1.2718234530347674
embedding_only,S1_VV,lightgbm,1.0,23,2016,0.9882976432688557,0.4156618081147213,0.8995870510409942,1.2718234530347674
embedding_only,S1_VV,lightgbm,1.0,33,2016,0.9882976432688557,0.4156618081147213,0.8995870510409942,1.2718234530347674
embedding_only,S1_VH,ridge,0.1,13,216,0.9292425405248861,1.2953787211914816,0.9060895806027897,1.509078498077701
embedding_only,S1_VH,ridge,0.1,23,216,0.9355132794157484,1.224602245374199,0.8954790446605206,1.5920497189335425
embedding_only,S1_VH,ridge,0.1,33,216,0.9284297758656233,1.3354656373018434,0.9035290237712015,1.5295133704848707
embedding_only,S1_VH,ridge,0.2,13,396,0.9306445275760632,1.2863701423787868,0.9183486584216728,1.4071377153411053
embedding_only,S1_VH,ridge,0.2,23,396,0.9374522144696669,1.1961866353026391,0.9118421242123306,1.4621283556862523
embedding_only,S1_VH,ridge,0.2,33,396,0.9375020412400749,1.2703156681867682,0.9189115885286612,1.4022787003045196
embedding_only,S1_VH,ridge,0.4,13,792,0.9424818684634547,1.1928163757152965,0.9246866710548396,1.351421622619061
embedding_only,S1_VH,ridge,0.4,23,792,0.9438256895337701,1.1602182532485459,0.9233297108325313,1.3635419122597785
embedding_only,S1_VH,ridge,0.4,33,792,0.9448604404751125,1.1789406825234048,0.9226497474121583,1.3695749664720294
embedding_only,S1_VH,ridge,0.6,13,1224,0.9438792392277535,1.1871655832812558,0.9269479898159432,1.3309784585296918
embedding_only,S1_VH,ridge,0.6,23,1224,0.9440006766250718,1.169864484467393,0.9270593565436901,1.3299635429187122
embedding_only,S1_VH,ridge,0.6,33,1224,0.94315369572029,1.193414711410374,0.9276046240118064,1.3249831493429611
embedding_only,S1_VH,ridge,0.8,13,1620,0.942861061551091,1.2008994856811417,0.9283971294441135,1.3177109590681775
embedding_only,S1_VH,ridge,0.8,23,1620,0.9424748707145345,1.1906721769971405,0.9278759829837125,1.3224976064883762
embedding_only,S1_VH,ridge,0.8,33,1620,0.94388587432053,1.1788851779533907,0.9277946584270651,1.3232429977962459
embedding_only,S1_VH,ridge,1.0,13,2016,0.9435701426955123,1.1834467941587472,0.9285174786791592,1.3166030970654956
embedding_only,S1_VH,ridge,1.0,23,2016,0.9435701426955123,1.1834467941587472,0.9285174786791592,1.3166030970654956
embedding_only,S1_VH,ridge,1.0,33,2016,0.9435701426955123,1.1834467941587472,0.9285174786791592,1.3166030970654956
embedding_only,S1_VH,lightgbm,0.1,13,216,0.9990972428461443,0.1463174461970053,0.8761760432383544,1.7328352739131585
embedding_only,S1_VH,lightgbm,0.1,23,216,0.9991705002826096,0.1388890561832869,0.8668071747972755,1.7971956412186811
embedding_only,S1_VH,lightgbm,0.1,33,216,0.9989856416584976,0.15898722588665046,0.8569826281412041,1.8622986893844606
embedding_only,S1_VH,lightgbm,0.2,13,396,0.9988708196892141,0.16413728009338893,0.9011450714827484,1.5482964011458544
embedding_only,S1_VH,lightgbm,0.2,23,396,0.9989459329144127,0.1552841405718201,0.8973353417408643,1.5778489459457
embedding_only,S1_VH,lightgbm,0.2,33,396,0.9988762955115665,0.1703353534312262,0.8953128699033189,1.5933147925483633
embedding_only,S1_VH,lightgbm,0.4,13,792,0.997297136477379,0.2585730549499762,0.9257011873953386,1.342288525701743
embedding_only,S1_VH,lightgbm,0.4,23,792,0.9967966580604585,0.277059131522211,0.9225945855821014,1.3700632311811696
embedding_only,S1_VH,lightgbm,0.4,33,792,0.9969550665696442,0.27704429369569705,0.9169629346227293,1.4190279095518368
embedding_only,S1_VH,lightgbm,0.6,13,1224,0.9951885935145377,0.3476046259330057,0.9323417943655539,1.2808998622619812
embedding_only,S1_VH,lightgbm,0.6,23,1224,0.9945578769395578,0.36469377119231233,0.9354963667703654,1.2506823753763636
embedding_only,S1_VH,lightgbm,0.6,33,1224,0.9949734524173991,0.3548748063113244,0.9338931664987447,1.2661294736700426
embedding_only,S1_VH,lightgbm,0.8,13,1620,0.99254184389005,0.43386669121549415,0.9376942211455453,1.229190247207357
embedding_only,S1_VH,lightgbm,0.8,23,1620,0.9922244072805652,0.43775403300131627,0.9378298314596917,1.227851834628737
embedding_only,S1_VH,lightgbm,0.8,33,1620,0.9926351926477724,0.4270867545714892,0.9343277124028024,1.2619612319998756
embedding_only,S1_VH,lightgbm,1.0,13,2016,0.9909574095212721,0.47374069513613964,0.9412110286048282,1.1939960001307515
embedding_only,S1_VH,lightgbm,1.0,23,2016,0.9909574095212721,0.47374069513613964,0.9412110286048282,1.1939960001307515
embedding_only,S1_VH,lightgbm,1.0,33,2016,0.9909574095212721,0.47374069513613964,0.9412110286048282,1.1939960001307515
embedding_only,S1_VV_div_VH,ridge,0.1,13,216,0.7071572761364194,0.983180548750418,0.5817168180503127,1.3605213662886184
embedding_only,S1_VV_div_VH,ridge,0.1,23,216,0.7319079242014104,1.045124763870012,0.6169863760634109,1.3018989481412573
embedding_only,S1_VV_div_VH,ridge,0.1,33,216,0.7719004190999064,0.9556242319715674,0.6131582943500318,1.3083887755706112
embedding_only,S1_VV_div_VH,ridge,0.2,13,396,0.7348251677134965,0.9782137674948004,0.6329155499742634,1.2745390874450067
embedding_only,S1_VV_div_VH,ridge,0.2,23,396,0.7130874703201635,1.0812894122040535,0.662608581509192,1.2219042660592978
