feature,gain_importance,split_importance,permutation_mean,permutation_std
A25,29616.328484654427,194,0.12607199673824526,0.007746954558587919
A24,7230.689782470465,180,0.04707535333580948,0.004573694685603397
A63,18093.414022684097,117,0.04249883104350062,0.005308651894893254
A39,3529.047735631466,289,0.0354180006782945,0.006411534649336211
A07,4704.700333446264,200,0.03309691696215168,0.00590327820325286
A32,4486.158390522003,199,0.029870283513459585,0.004375521652681615
A30,4846.1523777246475,209,0.028002028576215754,0.0028720228113781957
A31,20198.434610068798,97,0.020679858014729945,0.0046977468903870315
A03,3413.19250613451,153,0.019168954624221655,0.0037854163251312607
A62,2608.5079387426376,187,0.0189669526784099,0.0030549845146605643
A02,1698.9145933389664,184,0.018559942016610164,0.0017791365104578222
A56,3119.213255107403,117,0.014578920201921364,0.002136928631221208
A52,2739.481459081173,166,0.012033391317221264,0.002878703973672412
A28,846.2057769596577,175,0.008641016682546077,0.0022523932337782833
A04,1480.1625945866108,204,0.006768919689247854,0.0017976762614695968
A17,761.3766606450081,121,0.0065387324822028916,0.0013135810608923635
A09,1408.698036789894,110,0.006319785462782901,0.0012955589006255772
A12,1878.957680106163,142,0.006278306661913857,0.001761075537354825
A58,774.1661915779114,134,0.0056734160197693725,0.0016318491151866043
A40,1077.0728123486042,210,0.005553095308965428,0.0019811735045773085
A21,2203.247998893261,202,0.005316558559496309,0.0015662309996259086
A43,2675.923562347889,100,0.005298468394042133,0.002536370471600026
A57,803.0913273990154,144,0.005045163914727502,0.0016566670073055513
A37,1548.91171297431,126,0.004538495342731941,0.0015250689574786145
A08,3118.5610619187355,163,0.004427018367236102,0.0025159679714717702
A27,2486.9162505865097,113,0.003996434670148286,0.0008419799039906282
A59,951.1142338514328,144,0.0039905563066728435,0.001429064347522448
A48,345.7651295661926,85,0.003332147329118551,0.0004625807533380313
A01,913.4750016927719,156,0.0028956942409390507,0.002080738826612115
A47,705.0468232631683,103,0.0028198570956728063,0.0006630850074843003
A16,1706.9463193416595,107,0.0025616494563003188,0.0021328549189383386
A49,487.83314740657806,104,0.0022691034244345376,0.0011032242506432792
A19,1292.883648276329,95,0.0019801405400224127,0.0014791176018203922
A29,765.0208413898945,108,0.00195796508704259,0.0006858948763013903
A54,810.4635130763054,62,0.0018211078219485199,0.0008826214314501738
A36,1472.6801499128342,113,0.001792406536921931,0.0014693472754395093
A46,2020.5601313114166,66,0.001630742609484015,0.0007220678813444508
A51,536.0683279931545,111,0.0015469170972927438,0.0005710686351780937
A42,648.1170338988304,113,0.0015403667127378618,0.0005179596943004725
A45,612.9194966554642,93,0.0015293477987020077,0.0007085996131727767
A53,1562.429917395115,89,0.001387712069872038,0.000980536898450923
A60,452.4045109152794,84,0.0011781713726201515,0.0006219747337425906
A35,481.26330828666687,92,0.0010748723717130758,0.0004885161051451135
A06,318.5474714040756,60,0.000929728828905163,0.0005549486528412037
A23,443.90430903434753,63,0.0009259438573673395,0.0004883111798542602
A44,419.4355483055115,62,0.0009049871185569103,0.00036277381012180947
A41,1661.9029540419579,60,0.0009007600099554369,0.0006194713326192654
A33,491.01858353614807,68,0.0008505550321236122,0.000690971046247651
A38,440.7340158224106,73,0.0008503801618509388,0.0004332687034972116
A61,267.7233202457428,62,0.000827507952733264,0.0002875788174565734
A00,269.77595391869545,86,0.0006410926382445448,0.00036382800529036663
A10,388.25011414289474,148,0.0006320944202986122,0.000989750406668262
A50,702.1785227060318,75,0.0005619815034207942,0.0004209311843800269
A11,722.498837351799,68,0.0005017668726694958,0.0005379038435079993
A05,1040.659975349903,123,0.0004956084936289518,0.001196809737188348
A18,269.47800958156586,37,0.0002586112385889017,0.00012595050295446125
A55,177.30490911006927,49,0.00019509675571661723,0.00023964116016935328
A20,207.17684742808342,64,0.00014866036883323108,0.0004986075092963281
A15,558.4430670142174,84,0.00010854149940504598,0.00045509976026011044
A13,159.54430928826332,38,-9.861613198268726e-05,0.00018348886172032508
A34,436.1571007966995,52,-0.0005140844436561376,0.0002524665193199917
A22,353.8104165196419,82,-0.0005719786024744767,0.0004780109001477986
A26,357.64315021038055,98,-0.0008893815655728887,0.0009435878573624551
A14,291.4031268954277,85,-0.001146556438759694,0.0006427292612124856
