feature,gain_importance,split_importance,permutation_mean,permutation_std
A31,322171.28561735153,234,0.19386857107151848,0.012381949487574621
A25,217516.9867643118,308,0.07984595338757058,0.005685364053268711
A63,94151.62472200394,191,0.02215674472514001,0.003408949414217689
A17,10588.44267320633,234,0.021706142337468703,0.0037990727706511207
A30,45939.529836416245,231,0.02053077699994753,0.003742204556807187
A24,24508.507435798645,184,0.019184811488435705,0.003963493005199776
A39,43849.06566154957,284,0.018450852103099526,0.006332739167887463
A02,6079.449040412903,178,0.014289762842107446,0.0008832607651069655
A32,19585.61383008957,175,0.013817689886356278,0.003286779811709612
A07,13204.607560396194,208,0.012032341705917026,0.003721520193877946
A52,10647.83469927311,219,0.007653459146478347,0.002316090973244471
A03,17517.411368846893,167,0.006640900292361651,0.002091596615720754
A01,15492.091702461243,77,0.00469284661195678,0.0026361261381152397
A22,15690.080173015594,64,0.00426701020452962,0.004551814275932101
A40,6670.801149368286,122,0.003935044279514788,0.0015723581221931378
A62,7120.570614337921,102,0.003369187133524887,0.0010324383145312542
A49,7106.425336360931,77,0.0031932467488439476,0.0017143838462450615
A56,6729.983884811401,139,0.0031488832470099593,0.0011961339338407745
A37,4540.891343474388,101,0.002737481244063722,0.001116275550457245
A34,6366.695446252823,75,0.002631275709728509,0.0011966175412679375
A12,6958.997918367386,108,0.0025146455998421914,0.0011486081847916186
A53,8541.426071286201,122,0.0020098924044656187,0.001838606332089472
A00,4603.481653928757,75,0.0017985610083050218,0.0020718287990353005
A16,6679.400284290314,122,0.0017740308572253504,0.000778328467288337
A43,10895.164908409119,155,0.0017659049912216117,0.0009817579449333928
A45,2508.5822520256042,91,0.0017021573046742899,0.0004931936364835681
A08,6057.7289888858795,125,0.0015789807575593783,0.0015568615923637283
A47,5327.0965168476105,82,0.0015431948881387547,0.0005060435887971843
A58,5310.082448005676,84,0.0013497786539614308,0.0005707400374694099
A54,3920.4996495246887,55,0.0013035761589580308,0.0008232154615729216
A28,3141.8070747852325,77,0.0012323335800467294,0.000759689331907203
A57,3941.6334931850433,85,0.0011011358009808125,0.0003810473058467233
A19,4129.7446258068085,87,0.0008970166946032476,0.0009063030942181558
A20,1822.2835364341736,58,0.0008769409231165426,0.0003409462416321854
A09,4263.981072425842,105,0.000818206663387111,0.0007500908417222258
A50,4231.04519701004,57,0.0007450185150085997,0.0004366233463257883
A59,4971.390835404396,91,0.0007305645694649532,0.0004761043237067902
A10,1606.336034655571,67,0.0006352657537548545,0.000336650835461287
A15,6331.234360456467,63,0.0005614590898096572,0.0015398768082102495
A60,829.0125551223755,24,0.0005422254150539097,0.00020346216809644427
A38,1274.9015731811523,39,0.00028218952702744324,8.187723758444711e-05
A27,12811.809518814087,134,0.0002736881070067532,0.002002399750137899
A51,1143.4570469856262,36,0.000199267168277939,0.00016436402847796653
A61,1417.395180106163,45,0.00017387564258012356,0.00023888531089098444
A29,5231.865733623505,82,0.000173391785922139,0.0011489459701708022
A46,4644.2448823452,74,0.00015361735040968493,0.0003684304505290607
A41,6658.939751148224,75,0.00012112279058095199,0.00039823342135447053
A55,3268.0986807346344,40,9.271094100903321e-05,0.0002496128144972141
A44,1971.2591228485107,61,7.847471082769175e-05,0.0005934639602440433
A18,2597.5042988061905,35,5.7603666011418755e-05,0.00043359001896214357
A23,927.5631937980652,33,3.678486105122003e-05,0.00013454896990901138
A14,1868.4734066724777,99,1.1461656984024238e-05,0.00037162757173580776
A11,562.3824744224548,25,1.1207334114560208e-05,0.00018864746657342834
A06,559.3086875677109,32,-9.673463717293495e-05,0.00010219514281683107
A33,1640.3851404190063,77,-0.00012334943476878247,0.00030048276144860624
A42,9462.334129571915,112,-0.00014828367066557213,0.0012911395636685877
A48,4109.3395619392395,153,-0.00017027918118815987,0.000563112485612624
A04,9553.654377698898,95,-0.00023671449431027501,0.0022741412840275262
A21,8422.38233590126,172,-0.0006290008056427654,0.0008851544242211412
A13,2696.0544123649597,46,-0.0007366946801081076,0.0006738716923383025
A26,1363.4242384433746,52,-0.0008749086072104894,0.0003563738837612162
A35,5714.364438533783,112,-0.0008902734100526555,0.0008767023065802917
A36,14063.105916023254,152,-0.001202651819393763,0.0006617475399714316
A05,2875.3069767951965,97,-0.0032317423890903863,0.00336954911241757
