feature,gain_importance,split_importance,permutation_mean,permutation_std
A25,187080.72414688766,466,0.12571944368362803,0.005556356196205128
A27,109727.86860062182,666,0.10877193439240003,0.00620009831826297
A49,51634.651461943984,663,0.06626302314687721,0.004501280479646886
A17,28411.074703410268,627,0.03879274987617629,0.002985256766219548
A19,42396.53766697645,690,0.03679954816356096,0.0034223170409677273
A34,34287.91128796339,431,0.03313122362366287,0.0026725448289073484
A39,20208.945904523134,433,0.02795071480482515,0.003131089740728605
A26,26671.65159228444,502,0.027094874602232654,0.0028215869804873667
A44,69007.36784932017,475,0.023245339282090736,0.002311927194952384
A40,12586.132168889046,495,0.020276780251685122,0.00257934162792349
A01,9160.143706336617,627,0.01830699185345016,0.002158454989403264
A31,34361.68026794493,260,0.017492597465842086,0.001545029342255927
A46,41356.55092802644,281,0.014792566451129219,0.001865931222625302
A18,28932.492837920785,237,0.013965188314574639,0.0024791440875783313
A30,7443.929932117462,462,0.010703210195964763,0.0015806106075025585
A10,14319.749676972628,474,0.009468584339463848,0.0010386032012660576
A14,3917.09050399065,402,0.00829927186856958,0.000821766280401191
A35,12047.741899698973,424,0.008291757981337699,0.0010030053370892582
A08,8487.04752920568,227,0.007634101766594526,0.0013455899631239037
A60,2028.428511083126,550,0.007565089974129991,0.0009342107003284414
A42,19882.67626516521,162,0.007337434000066356,0.0010249871522233847
A45,7737.2644555568695,423,0.00663622026120485,0.0009236031226999062
A15,23357.033329337835,320,0.005549471930549599,0.0019593212227836457
A50,5207.74951672554,347,0.0053551338845994724,0.0007372953519935433
A43,9255.185494914651,467,0.0052182227862044624,0.0012025555449779333
A62,9540.460245653987,549,0.005200506664227245,0.0008549754340945321
A57,3173.8868506401777,420,0.004757870769527162,0.0008591243396165826
A47,3788.991913869977,599,0.00456954817036509,0.0008436394822998447
A61,3987.0531316399574,333,0.003913576588415879,0.0009932788344101746
A38,15002.224375486374,465,0.0036801556344284057,0.0008097359246460899
A36,3905.815304785967,379,0.0027147511690685635,0.00047879093684401994
A11,6077.940264523029,291,0.0026366751297384194,0.0005803561157596871
A59,3329.387176707387,292,0.002608532059302504,0.0005616233556400112
A56,3918.521907836199,352,0.0023688189940162863,0.0004484215830491443
A23,4541.669794008136,399,0.0022991961839874064,0.0008553039105116891
A33,6432.696823731065,249,0.002287301010313636,0.0005328657164911787
A48,9620.457077905536,246,0.002244373602886851,0.00048222524078991863
A07,2104.0609029978514,381,0.0019248684234893232,0.0011644170174489655
A58,2920.708016678691,317,0.0016636976360824064,0.000448866923558067
A37,1706.7211870998144,530,0.0016365229428960016,0.0010475067338493714
A04,2448.2659115940332,446,0.0015525310546259164,0.0004572371319492248
A53,3191.2139852792025,299,0.0015013659508557931,0.0006838429648523525
A32,1452.8776501119137,371,0.0014373179710305607,0.0005596984667893364
A29,867.3400604724884,277,0.0013280014086702874,0.00034886558125874254
A02,9149.056783020496,197,0.0012081948876414672,0.00023523870866511953
A21,2154.978436976671,402,0.0011987967479524576,0.0003455811863837461
A22,4342.30746768415,262,0.0011952860018474398,0.0005677434409983728
A28,1133.889327377081,278,0.0011327897336835479,0.0002899020023454126
A63,8297.294696599245,266,0.0010752655719999393,0.00038531181428438715
A52,6186.88021017611,201,0.0010131312531445169,0.00043230539024012436
A03,1188.8505779504776,297,0.0008977167595678126,0.0006714681389553919
A05,1717.1622433513403,238,0.0008145210814032744,0.0002952091019368722
A24,10886.605993822217,241,0.000708493007575528,0.0003420469149829064
A54,343.9591693431139,208,0.0005050878086941601,0.00018925717978302554
A51,622.5680376440287,298,0.00041921843657853896,0.0002550907692203881
A06,1374.5369896292686,181,0.00032977418809274626,0.0001903412279655144
A41,739.5028568506241,111,0.0002876050981410194,0.00012843517913940176
A09,2668.94799298048,98,0.00022360178510659744,0.00012363171894334772
A55,478.97133208811283,154,0.00019000365743071512,0.0001059869765281625
A00,668.9164788722992,123,0.00017158807524773057,7.889483213963886e-05
A16,3022.7156340777874,261,0.00012537554603053724,0.0003592119187368535
A13,292.3724717050791,199,0.0001033528270337647,8.650397973025784e-05
A12,585.2208582758904,177,2.8225878877630173e-05,0.00011934567611175914
A20,657.3593456745148,343,-6.0865720920322274e-05,0.0002219829525435853
