feature,gain_importance,split_importance,permutation_mean,permutation_std
water,225690.21583887935,341,0.1336350770184518,0.006407074915632177
A25,114114.5606033057,228,0.11208778440281505,0.005796856810781111
A27,30087.562071487308,351,0.05030387323653114,0.0021735074935935648
bare,76357.27320946008,450,0.030970547769930423,0.002101609160551882
A34,15126.286528132856,276,0.025209987065743223,0.0023545445616613044
A19,16131.855902180076,230,0.02208129451002393,0.001618653460973571
A49,24754.33249771595,256,0.02124046067322325,0.001588876617564485
A08,7096.180944532156,204,0.017968381236051212,0.0012668113024467908
A31,17045.927733004093,288,0.015419470803273605,0.0013774011316470543
A52,14104.640110969543,179,0.013259248104262966,0.0019851176230248927
A59,12938.782643422484,258,0.01293763510770688,0.0009140925166480981
A10,5375.961656570435,249,0.011634729392792831,0.0007224371288510887
A24,4206.693752974272,225,0.01015482600561617,0.0012178808018614294
A17,6691.36784799397,180,0.008855293771091654,0.001284050951715819
A26,4906.308471113443,328,0.008008300425678183,0.0012761938931301058
trees,9336.521401837468,224,0.006882867035565643,0.0005771603567928022
A45,4970.635612331331,255,0.006818409201777997,0.000909273632482437
A43,7648.368984267116,227,0.006500358198915157,0.0011540630069733148
A63,19455.444880083203,142,0.004943910982052402,0.0006513336610393834
A09,4363.523522034287,172,0.004904486881621517,0.0006451913346359159
A44,11725.851441845298,170,0.004425093507207911,0.0013256319692872673
A56,5354.3775896281,199,0.004345619240015841,0.00032636445165824915
A18,9056.561181738973,122,0.004211233364108025,0.0007858648658418517
A35,2895.594984188676,175,0.004162439066691326,0.0008877479026279516
A46,19393.223013326526,141,0.0037060892001026134,0.0007941863729047991
A40,1620.8736207187176,124,0.0033145676614523057,0.0007006094402174255
A50,1849.5041759312153,174,0.0032965166229402486,0.00043572714761660954
A60,1151.229309603572,203,0.0030945222463565126,0.0003902271544246577
A33,2095.924863666296,149,0.0029862262739013268,0.0004896681694696849
A38,2335.5082127153873,158,0.0027776503050021663,0.0007574635193379211
A15,5633.728917017579,174,0.0027511295807524207,0.000699978490579756
A05,1822.6431940943003,180,0.002746283066972299,0.0005937864070941212
A23,1020.8480826765299,137,0.0024578259723179287,0.0003721412662928068
A39,2728.9076710939407,254,0.0022446302199637725,0.0005075737622080446
A14,983.7701676785946,136,0.0016861913199465173,0.0002643400048833712
A01,1191.776145502925,173,0.00160115142855195,0.0003223017047993598
A11,3104.7478353232145,152,0.001596376131900623,0.0003254173198674014
A37,647.7565191984177,153,0.0015336620248340815,0.00042438286632576937
A29,674.3867624253035,175,0.0014159913039178851,0.0003253741529155171
A51,929.3428089767694,198,0.0013753860480178238,0.0002634372358049852
A07,1011.7385974526405,241,0.0013014825845364287,0.00024729730280652524
A04,756.5445919930935,151,0.0012378584030686367,0.00036760903808588863
A02,557.952665284276,127,0.001131657182389112,0.0002959387776494661
A53,1532.8084008693695,174,0.0010963539365898335,0.0003556931705694525
flooded_vegetation,650.7464994043112,194,0.0010951102211292252,0.0004062890563689938
A47,531.3156949728727,192,0.0009881817478951116,0.00047932434425944413
A61,698.5012241005898,181,0.0009389627618055397,0.00038551531631404956
A36,1941.464417874813,167,0.0009249379811163361,0.00025826220828426043
snow_and_ice,438.77971263974905,211,0.0009096779477204997,0.00016341852006598027
A00,711.4319791197777,152,0.0008092478383895152,0.00039618007867120344
A62,1183.2368028908968,171,0.0007414195048989658,0.0002416238506592312
grass,3361.8401767760515,160,0.0006328803935235605,0.00017109864803310044
A48,398.4795293956995,110,0.0005882479856244571,8.033725627920952e-05
crops,6136.008111387491,160,0.0005698087888260317,0.0002418205919536797
A22,724.8064618632197,109,0.0005547090329606208,0.00015690309954765876
A58,592.3810868561268,138,0.000529972516978694,0.00021849920065682184
built,399.3981210887432,191,0.00047337559487479195,0.00014471810502180818
A57,553.2170749604702,111,0.0004562946730354067,0.0002780936585057182
A28,313.6585804671049,174,0.00040784311439320267,0.000249509125147727
region_sf_bay_urban,225.23406291007996,16,0.00037727300325189893,5.58143358657667e-05
shrub_and_scrub,495.59433130919933,184,0.0003423971637658285,0.00013415941155018593
A06,312.0557684004307,56,0.00026232513475593633,0.00015122494698631723
A12,373.89820401370525,64,0.00025816480344447167,8.782183754819729e-05
A55,727.8358787894249,118,0.0002477208033914269,0.0001656153250658974
A16,433.53523717820644,172,0.0001886936165879427,0.00014699261422326416
A13,225.2305507659912,67,0.00013103552873421352,8.241034067974749e-05
A54,131.30597154796124,61,0.00011312315702078912,7.500188387694845e-05
A30,208.97364275157452,115,0.00011194661355906632,0.00011722642595040909
A42,730.3533173874021,213,7.93406787845008e-05,0.0002955055479501226
A20,283.7638449370861,121,6.679026167711876e-05,8.602110703252845e-05
region_california_coast,27.659569561481476,6,6.262694815643011e-05,1.6629654712936334e-05
A21,266.23396879434586,152,6.22752100820967e-05,0.00023353648174989267
A41,112.38123542070389,72,1.7294012063839847e-05,6.277290825764795e-05
region_amazon_forest,19.269800186157227,1,1.2505809956908643e-05,1.0826585169596899e-05
region_iowa_ag,0.0,0,0.0,0.0
A32,388.7864869683981,158,-4.6172129485944066e-05,0.0001993510045227072
A03,221.62062087655067,125,-0.00011042990945058229,7.930759424322393e-05
