feature,gain_importance,split_importance,permutation_mean,permutation_std
A25,44399.26307283342,779,0.07672478099528598,0.006365308146076235
A31,62410.4368994534,509,0.06021409981450695,0.0077989714074445625
A39,9185.957306683064,929,0.047897798230075485,0.005789456125075645
A63,28046.979583859444,420,0.035383213106731204,0.005137032957935605
trees,17751.675131827593,1065,0.028084902329058838,0.004043116757446058
A24,12430.22762748599,554,0.027621023300315906,0.003184306756666683
A30,9795.408422857523,597,0.02638455560483256,0.0032015345099012716
bare,22886.06633721292,704,0.02116002454412972,0.0040702385574622356
A32,8175.461365044117,513,0.018729880289536316,0.0029106218228186127
A07,5740.768513023853,662,0.015853550319696742,0.003800369096095167
A03,6403.967503450811,492,0.015252032507762858,0.003294315605832685
A56,5565.382840231061,397,0.010036392538116713,0.0017358054349788674
A28,1676.301676645875,632,0.009997309544681653,0.002811719269648896
A02,1760.6351076811552,481,0.009513860669943974,0.001015829292970388
A52,4850.046589076519,617,0.0093743443330638,0.0025595631631079815
A62,3135.9978170096874,555,0.009237240103981127,0.0018427053239149184
A40,2818.9073434621096,721,0.008433811030921657,0.002451095750168663
A09,3483.420855730772,489,0.007312121430883023,0.0014666863557207795
A59,3119.9811537265778,600,0.0064583410187769585,0.0018107248693922274
A17,1371.6542192995548,508,0.005368610551625752,0.0010310240094340167
A04,2318.0151052474976,558,0.005248243367540905,0.0010300659021712296
A08,2527.874638736248,636,0.004783391413947413,0.0016761889850290862
grass,5828.795044399798,747,0.0045000802936915,0.0021676314706424566
A47,2897.5657900720835,582,0.004220263020901649,0.0008078463135793245
crops,1696.0312700718641,598,0.004153324199906161,0.0006698435038999386
A21,3525.360608637333,512,0.0040481093716772335,0.0012104675343194797
A27,5371.0489462167025,442,0.003983807176368292,0.0007504383966637073
A58,1664.7824229002,468,0.003956239180153665,0.0012308462860039628
A48,916.1352328062057,433,0.003302466016196193,0.0006454712982255813
A36,8473.94016365707,660,0.0029284759737467246,0.0012357577646673534
A61,1310.5816422402859,357,0.0024868689691678546,0.0004898073705881852
water,6211.705399423838,510,0.0021648802625697126,0.00098290566593139
A37,2077.122841924429,463,0.0021492516971818865,0.0008255026965334212
A46,3253.292056143284,293,0.002029881041058457,0.0007329809427318347
A12,2192.127545848489,342,0.0019516155437983463,0.0008833155172873483
A23,2630.1261699795723,300,0.0019471634324815356,0.001223222599604145
A10,911.8580109775066,487,0.0019463180171591765,0.0008865733750093458
A51,917.6863262951374,387,0.0019165742447780354,0.0006164837276148735
A45,1743.043642282486,414,0.0017966641252363357,0.0005792593342087797
snow_and_ice,1244.0129706561565,490,0.0015655354840839464,0.0011076624898543573
A57,1595.2084711939096,455,0.0015042211232962788,0.0006028375792920548
A49,1475.4654382318258,447,0.0014844615308400755,0.0009202437316787503
A29,911.9035973995924,340,0.001460963860873199,0.00048225926251435744
A01,1790.663264915347,468,0.0014299426241306755,0.001977904913922679
A60,599.8931048512459,217,0.0013942115752027529,0.0006126052656069467
A22,1739.5310503691435,460,0.0012151291458806003,0.0010512465739078644
A43,3649.4640855789185,334,0.0012059257382900479,0.001234543648623134
A20,1435.0639507472515,278,0.0011277198266264276,0.0005885455015022472
A54,786.3159902840853,248,0.0011032256205956604,0.0003167711435974693
A33,1449.4001882970333,294,0.0010757699021841315,0.0007304899778798099
A35,1078.2907848209143,427,0.0010581669965769812,0.00050789407339274
A38,1620.911668509245,296,0.000979593735673978,0.0005816179316271356
region_sf_bay_urban,112.4698371887207,35,0.0009428556906667884,0.000259975377780901
A05,1314.6538233160973,426,0.0007759422140015792,0.0015482552703615724
flooded_vegetation,926.3557030409575,423,0.0007523498955847585,0.0006233548009441489
A44,1065.8671705722809,306,0.0006957529184837607,0.0004869031134717301
A16,3055.656111240387,503,0.0006494125427432662,0.0015320306763346862
A42,1098.3938279598951,410,0.0005687917902783779,0.0003994237670961327
A41,969.7695816904306,222,0.0004421773780369009,0.00022688354367631552
A53,1767.7954359948635,338,0.00037490279691944074,0.0005085763499572564
A55,1040.482700407505,236,0.0003089132649154891,0.00030401924563253064
A19,2610.2447888106108,397,0.0002914921262045844,0.00110136854517957
A26,577.8999569416046,305,0.00027004643500061487,0.00030065660725441424
A14,731.4226552546024,360,0.00023442977223517847,0.0005526442762755222
A11,1140.155313372612,310,0.00018413037736485504,0.00032894014705124017
A00,878.0206173360348,338,0.00015963676690180506,0.0006958271428603782
A13,523.2175950109959,223,5.632078486033088e-05,0.0002025448633850115
A18,743.4061433374882,201,4.147944512968849e-05,0.0003419627255759427
region_california_coast,55.01504999399185,10,2.7304558462060147e-05,4.5046597079695875e-05
region_amazon_forest,0.0,0,0.0,0.0
region_iowa_ag,0.0,0,0.0,0.0
A06,932.5837753117085,280,-1.6344895356479318e-05,0.0005503465793458071
A34,2257.279645770788,326,-0.0001419693324096749,0.00040288216782193156
A50,953.8300017118454,286,-0.0004183631686393907,0.0003268989816602566
built,1375.8326820880175,605,-0.00047914366468925217,0.000564327299201073
A15,1847.0445328056812,386,-0.0005169370207901758,0.0005317781547774044
shrub_and_scrub,1224.8748930990696,519,-0.0005275840133860066,0.0007676272568158478
