feature,gain_importance,split_importance,permutation_mean,permutation_std
A31,218344.78298926353,175,0.1960148425643582,0.013308612237732546
A25,174500.88323247433,305,0.10390902025236697,0.008709442912799101
A30,10085.635027825832,190,0.03592823390569714,0.00487506419561427
A39,11278.547032952309,259,0.02826227720647804,0.00399096357980116
A32,15605.174922705628,224,0.026215915836129523,0.0050732597426591895
A07,5556.288010835648,233,0.020042136321881045,0.005696000698648842
trees,21577.990728735924,329,0.013127334844339478,0.004073028337606801
A24,12460.515889585018,142,0.010134948406656418,0.0025890361539289406
A63,14734.51878297329,149,0.00872796330705461,0.003202795777654606
A28,1616.8340437412262,106,0.008539512715362263,0.00275633533146163
A17,2888.0735844373703,181,0.007266048024920679,0.0013165688086786815
A18,2973.6940774917603,75,0.006425396829184337,0.001575398616095207
A52,4875.192347049713,214,0.00592295781433313,0.0017966623592556618
A03,8029.137922696769,129,0.005897625924998184,0.0017972830206265257
A04,10617.579855442047,117,0.0051352823831522735,0.0027357645282615386
water,3231.312075614929,122,0.00431230852924005,0.0005741629858028315
A02,2974.910001516342,105,0.00410425138547924,0.0007503757607503368
grass,14500.52367568016,236,0.0040045761487861875,0.0037550231483467946
A36,15531.032813429832,161,0.003649282274667753,0.0016649431403052465
A40,6280.4756454229355,133,0.0036294666846614864,0.0014079948028730552
A62,4566.746424913406,116,0.0036250705641577507,0.0020976741260476427
A53,8352.011522650719,154,0.0035770127190817846,0.0021150546092301085
A48,1102.5230884552002,98,0.003122341044341825,0.0005355130058437728
A47,3341.0023095607758,150,0.003041895329751865,0.00132564873896224
A27,2175.1231232881546,143,0.0029981599737017527,0.000982116445593127
bare,13161.53491473198,152,0.0029468669344339003,0.0017464812408297654
A59,3493.0042457580566,139,0.0025095127004364005,0.001326849833749956
A22,603.972519993782,68,0.00200265808717105,0.002014321770175131
A10,1223.7485476732254,124,0.0019229058449202307,0.000579704055118551
A43,4760.430253505707,125,0.0018353570815436316,0.0013100870435694013
A34,2631.6984379589558,91,0.0017858868238170844,0.0010534128256108374
A16,3132.1717953681946,115,0.0017361130132728998,0.0005270970320259178
A37,2323.036042511463,95,0.0016803302991543867,0.000929869701693647
A56,2279.6466274261475,98,0.0016544990295960127,0.0007283213730246852
A21,3756.523446083069,135,0.0015745884446148439,0.0007464479287861915
A49,1789.5455249547958,94,0.0013567570953049723,0.0005177771857776475
shrub_and_scrub,831.5814573168755,93,0.0013469947067683008,0.0005551911924676303
A09,1191.1694235801697,100,0.0011360472078504214,0.0002794113965211062
A58,1257.9534298181534,93,0.0008197595396817525,0.0003143766384713858
A08,1588.9981013536453,132,0.0007598872811512613,0.0005838524178766304
A26,1939.0429047346115,70,0.0006377033596359327,0.0008114725523232858
A29,1387.453232884407,81,0.0005804804829462773,0.0008305352783218959
A20,1097.6214566230774,83,0.0005026212855707368,0.000589947978882147
A38,893.4067666530609,70,0.00042508287047484663,0.0006878218617190133
region_sf_bay_urban,76.97276020050049,9,0.00040991266210962387,0.00018129388369605566
A61,407.7685580253601,57,0.00040843389874983815,0.00014831722125290052
A54,1297.535190463066,57,0.00038194372614875905,0.0001669415688774135
A60,668.6387950181961,51,0.00037364631937202296,0.00034330494086905433
A35,934.8747626543045,88,0.00034272231570287026,0.0004607430303748556
A57,2824.6109672784805,86,0.0003421358786718898,0.0005640686741894259
A01,1216.198270201683,132,0.0002905217488825995,0.0014380694927367075
snow_and_ice,864.223481297493,71,0.0002902335417440116,0.0006638840282789769
A51,863.6880048513412,74,0.0002846608581798749,0.00021528908257562192
built,734.6238915026188,111,0.00020831990231330312,0.00014532465814258276
A23,867.3189640045166,66,0.00018701007597947682,0.00028258475188703273
A50,552.0563985109329,42,0.00016878394606300028,0.00021833434012016363
A44,1044.4630784392357,83,0.00015569437260553042,0.0003392361750994144
A14,543.7748408317566,69,0.00014287068205730556,0.00013809380781164344
A45,1240.9535138607025,81,0.00013611712921378637,0.00014648374861928076
A11,775.2759901881218,61,0.00011253563143762691,0.00013844418917371572
region_california_coast,34.704689025878906,3,6.640524559777816e-05,6.006096976412288e-05
flooded_vegetation,487.8211419582367,67,3.391810412836094e-05,0.0001607266969781059
A33,569.5667905807495,57,2.6136304842594437e-05,0.00020004770770012094
A13,266.9648984670639,35,8.57074231576105e-06,8.322892276203183e-05
region_iowa_ag,0.0,0,0.0,0.0
region_amazon_forest,0.0,0,0.0,0.0
A06,441.3476130962372,39,-2.452585755086112e-05,0.00022355891870533333
A12,588.8144749403,51,-6.670359887261945e-05,0.00019691216395343662
A41,2396.435290336609,55,-7.556563327553168e-05,0.000472848332843757
A00,895.1920306682587,50,-7.973660556919171e-05,0.00036989223607046106
A46,1833.2350262403488,66,-0.00016836926157111077,0.00044774329740983093
A15,7123.1215134859085,115,-0.0003343620391474955,0.0018853281313198228
A05,1003.9812064170837,91,-0.0004232290683670592,0.001322151763099637
A55,1373.8135613203049,59,-0.00046342338970236654,0.000502948731629659
A19,2430.7064740657806,75,-0.0007908694592864473,0.0009106901528911183
crops,3127.9968897104263,114,-0.0008266372252121901,0.000709630230062194
A42,2664.2107640504837,150,-0.0009416394375526216,0.0010023449307988816
