feature,gain_importance,split_importance,permutation_mean,permutation_std
water,319072.5941156298,695,0.11297983583880548,0.0074073869956592445
A27,102908.58147734404,713,0.08444489671453911,0.005339276974286602
A49,62334.951087489724,769,0.05478234333276042,0.003709442304389409
A25,94700.01839336753,338,0.04117562340767711,0.0028738367863431523
A17,25880.629133865237,639,0.03670587028938989,0.002783838459160498
A19,46944.443507134914,771,0.031454493722783715,0.0032540267587219834
A34,36949.22120335698,492,0.03142914837362395,0.0028687293126844577
A39,18254.22775411606,558,0.023669976816388827,0.0026230749856460873
A31,42295.38424897194,379,0.020650093178445062,0.0019026643885896874
bare,77726.15017710626,379,0.01893932362318649,0.001575401775187823
A26,20460.603821817786,631,0.01889217318639721,0.0021306870950233273
A40,10509.35579124093,575,0.017855364118403272,0.0029447328574690123
A01,10959.428250581026,640,0.01662115224498324,0.002063808229365845
A08,14018.81249128282,383,0.011340300851561392,0.001855267007230842
A10,13754.20054860413,573,0.009819048821970888,0.0011015620972387502
A35,12423.395307570696,545,0.008466328741150043,0.0009812249994879437
A18,30719.3619196862,259,0.008414473129045275,0.0018591692614585566
A30,7340.854893535376,494,0.008125521247975253,0.0012782265551732072
A45,10028.490825787187,482,0.007975967238783577,0.0009583534845342012
A15,30090.89416845143,328,0.0074611819183519335,0.0017915341740250875
A14,4283.711430326104,407,0.007229208213264437,0.000978990771443098
A60,1872.7399478703737,489,0.006131320133522411,0.0009214338798813229
A47,4839.222307577729,784,0.005949154966740566,0.0009093650950059093
A61,6977.041554123163,418,0.005821962824443005,0.0010743831448336914
A42,16715.963420823216,251,0.005260566651110609,0.0008738312859078424
A50,2328.656128168106,366,0.003906638909030613,0.0006197079785952579
A46,26902.109984010458,198,0.0037440838325123794,0.0005515409478850513
A59,3630.133061468601,485,0.0035525229461120245,0.0007967218823900626
A62,4256.121110722423,758,0.003486715885355962,0.0007603543866872188
A38,10233.215238034725,532,0.00342360860736769,0.0009005444186836015
A57,3320.0814364403486,286,0.003298796052272679,0.0007196115914942704
A23,3340.119081914425,419,0.00304203167628303,0.0011213252045241089
region_sf_bay_urban,1559.9192224144936,172,0.0028319323543972595,0.00021183248344610364
A44,22620.669160693884,297,0.0025405900523221446,0.0007056511507530126
A36,3254.9883287101984,390,0.002500665435055671,0.00047761618706658324
A11,7850.608718574047,229,0.002437288420664674,0.000485896902811931
A32,2362.590766325593,451,0.002120407672653468,0.0008205984754763394
A43,8011.987684264779,532,0.002117746881258564,0.0011474598940533116
A53,2862.2696717083454,323,0.002050398224539485,0.0007641945316559982
A07,2738.6780939362943,375,0.001958192153470306,0.0008025307369348971
A37,2807.993640333414,541,0.0016132067406880557,0.000971630060879845
A33,7915.817616432905,189,0.0015899413051457477,0.00031805135607680196
A21,3718.893979176879,406,0.0014870247907153521,0.00044104064567138644
trees,6241.0573743879795,423,0.0013591012305077088,0.0003243124841414258
A52,10621.042545586824,210,0.0013183453944783264,0.0003985232476992528
A58,1771.1105028539896,300,0.001215094047556964,0.0003011168724779218
A48,3329.6460981070995,188,0.0011839388117517613,0.0002512539944114027
A29,808.8276975750923,304,0.0011444017477920787,0.00022047024254156578
A04,1941.3785373866558,421,0.0011227614689092614,0.0003088851336977339
A28,1381.6199057996273,348,0.0011048404433336545,0.0003623788090498732
A03,3287.7140707969666,308,0.0008783928536322371,0.0008325123854974953
region_california_coast,241.26289182901382,53,0.0007894979110485756,0.00010968645615709467
crops,7973.675023347139,320,0.000782835266757842,0.000454353527629862
grass,5390.789138749242,292,0.0007682957264133261,0.0002876894015491998
A02,8953.805829763412,183,0.0006581823313626777,0.00017770563845318966
A51,1033.3266454190016,175,0.0006129648996920589,0.0001838652050040671
A56,1780.6973065435886,167,0.0006100577827015563,0.00020452631113228786
built,1253.8617136478424,247,0.0005930518396520146,6.169256812511777e-05
A16,2377.822241663933,183,0.0005538712680649205,0.00023739502746494427
A06,1565.6921087354422,216,0.000537687835903955,0.00013911572176469232
A24,6399.080069124699,236,0.0005262385617944787,0.0005978459995345481
snow_and_ice,1416.602591395378,345,0.0005154785723080479,0.00022898363544724865
A20,1041.610669925809,349,0.0004800222566140988,0.0002489342991413445
A05,1110.9429168403149,149,0.0004760707194720215,0.00018234144360157
A09,2259.1549313366413,138,0.00043460797831342826,9.220344379658665e-05
flooded_vegetation,510.7723382860422,157,0.0004176748148695175,9.274627505940397e-05
A22,1269.7389483302832,295,0.00033682155818978157,0.00019039937744392063
A55,2055.8070967793465,158,0.00030180424618668765,9.66954922240329e-05
A12,1637.3580846190453,214,0.0002921610606125946,0.0001514979385796456
A41,620.9446384906769,106,0.00023886780256958672,0.0001535754496395663
A54,449.74616849422455,208,0.00023022236735917856,0.0001408340570694434
A00,444.82171100378036,145,0.00017856312170968502,9.531032574151055e-05
region_amazon_forest,1075.4388160705566,4,4.579394576376128e-06,8.353959534004396e-05
region_iowa_ag,0.0,0,0.0,0.0
A63,2224.054573968053,238,-2.527602331910961e-05,0.00021935917486796695
shrub_and_scrub,568.1635530292988,258,-5.8128914546839995e-05,0.00023878399404508993
A13,358.07760429382324,166,-8.746316467116433e-05,0.00013044810730772095
