feature_set,target,training_target,model_name,model_label,train_r2,train_rmse,train_mae,r2,rmse,mae,pearson_r,best_params,prediction_file
embedding_only,S1_VH,S1_VH,ridge_vh,Ridge (VH) [Embeddings only],0.9435701426955123,1.1834467941587472,0.8896995051202886,0.9285174786791592,1.3166030970654956,0.9452227353031986,0.9636254043914604,"{""alpha"": 1.0}",test_predictions_embedding_only_S1_VH_ridge_vh.csv
embedding_only,S1_VV,S1_VV,ridge_vv,Ridge (VV) [Embeddings only],0.9073083288315913,1.169832848772717,0.8444221485614004,0.8683787638248142,1.456112570479016,0.9375271951629208,0.9329460088773628,"{""alpha"": 1.0}",test_predictions_embedding_only_S1_VV_ridge_vv.csv
embedding_only,S1_VV_div_VH,S1_VV_div_VH,ridge_polarization_difference,Ridge (VV-VH) [Embeddings only],0.7597206291913964,1.0072287777645206,0.7536154710491297,0.7076767734055887,1.1373701518579107,0.8014757406307301,0.8415174874511917,"{""alpha"": 1.0}",test_predictions_embedding_only_S1_VV_div_VH_ridge_polarization_difference.csv
embedding_only,S1_VV_div_VH,S1_VV+S1_VH,ridge_structural_polarization_difference,Structural baseline (VV_hat - VH_hat) [Embeddings only],0.7597206291913963,1.0072287777645208,0.7536154710491298,0.7076767734055887,1.1373701518579107,0.8014757406307303,0.8415174874511914,"{""alpha"": 1.0}",test_predictions_embedding_only_S1_VV_div_VH_ridge_structural_polarization_difference.csv
embedding_only,S1_VV_div_VH,S1_VV_div_VH,lightgbm_polarization_difference,LightGBM (VV-VH) [Embeddings only],0.9175105231403817,0.5901591667445314,0.4431898024262675,0.7070277249582746,1.1386321094364258,0.7962948192134023,0.8410302319828512,"{""colsample_bytree"": 0.5232252063599989, ""learning_rate"": 0.025815006344207535, ""max_depth"": 4, ""metric"": ""rmse"", ""min_child_samples"": 44, ""n_estimators"": 873, ""n_jobs"": 1, ""num_leaves"": 103, ""objective"": ""regression"", ""random_state"": 42, ""reg_alpha"": 0.071587143831198, ""reg_lambda"": 0.0007122305833333872, ""subsample"": 0.836965827544817, ""verbosity"": -1}",test_predictions_embedding_only_S1_VV_div_VH.csv
embedding_plus_context,S1_VH,S1_VH,ridge_vh,Ridge (VH) [Embeddings + region + Dynamic World],0.9449778482016051,1.1685923712879147,0.8685053357562542,0.9286922597720987,1.314992506388506,0.9438871232706412,0.9637020166960475,"{""alpha"": 1.0}",test_predictions_embedding_plus_context_S1_VH_ridge_vh.csv
embedding_plus_context,S1_VV,S1_VV,ridge_vv,Ridge (VV) [Embeddings + region + Dynamic World],0.9093243515797529,1.157041112986271,0.8258608572239325,0.8704684806184497,1.4445071582009104,0.9337246763235719,0.9338648059540997,"{""alpha"": 1.0}",test_predictions_embedding_plus_context_S1_VV_ridge_vv.csv
embedding_plus_context,S1_VV_div_VH,S1_VV_div_VH,ridge_polarization_difference,Ridge (VV-VH) [Embeddings + region + Dynamic World],0.7641694341369918,0.9978607241654811,0.7463853926956078,0.7081024061114063,1.1365418251344743,0.8010839662973984,0.8416868403145943,"{""alpha"": 1.0}",test_predictions_embedding_plus_context_S1_VV_div_VH_ridge_polarization_difference.csv
embedding_plus_context,S1_VV_div_VH,S1_VV+S1_VH,ridge_structural_polarization_difference,Structural baseline (VV_hat - VH_hat) [Embeddings + region + Dynamic World],0.7641694341369918,0.9978607241654811,0.7463853926956078,0.7081024061114063,1.1365418251344745,0.8010839662973984,0.8416868403145942,"{""alpha"": 1.0}",test_predictions_embedding_plus_context_S1_VV_div_VH_ridge_structural_polarization_difference.csv
embedding_plus_context,S1_VV_div_VH,S1_VV_div_VH,lightgbm_polarization_difference,LightGBM (VV-VH) [Embeddings + region + Dynamic World],0.9606039975771332,0.4078457680984499,0.2930886936940655,0.6989116158454656,1.154295932951863,0.7984806690862742,0.8362900871448662,"{""colsample_bytree"": 0.5488360570031919, ""learning_rate"": 0.011448469784568732, ""max_depth"": 10, ""metric"": ""rmse"", ""min_child_samples"": 66, ""n_estimators"": 1709, ""n_jobs"": 1, ""num_leaves"": 122, ""objective"": ""regression"", ""random_state"": 42, ""reg_alpha"": 0.16413094407760043, ""reg_lambda"": 0.015876781526923997, ""subsample"": 0.7218455076693483, ""verbosity"": -1}",test_predictions_embedding_plus_context_S1_VV_div_VH.csv
