k,dw_label_name,n_queries,mean_overlap,median_overlap,p10_overlap,p90_overlap
5,water,320,0.0675,0.0,0.0,0.2
5,snow_and_ice,320,0.029375000000000002,0.0,0.0,0.2
5,flooded_vegetation,320,0.017499999999999998,0.0,0.0,0.0
5,trees,320,0.015000000000000003,0.0,0.0,0.0
5,built,320,0.013125000000000001,0.0,0.0,0.0
5,bare,320,0.009375,0.0,0.0,0.0
5,grass,320,0.00875,0.0,0.0,0.0
5,shrub_and_scrub,320,0.008125,0.0,0.0,0.0
5,crops,320,0.006875000000000001,0.0,0.0,0.0
10,water,320,0.09781250000000001,0.1,0.0,0.3
10,snow_and_ice,320,0.042812499999999996,0.0,0.0,0.1
10,flooded_vegetation,320,0.035625000000000004,0.0,0.0,0.1
10,trees,320,0.024375,0.0,0.0,0.1
10,bare,320,0.021562500000000002,0.0,0.0,0.1
10,built,320,0.019687500000000004,0.0,0.0,0.1
10,grass,320,0.015625,0.0,0.0,0.1
10,shrub_and_scrub,320,0.015312500000000001,0.0,0.0,0.1
10,crops,320,0.0140625,0.0,0.0,0.1
20,water,320,0.15499999999999997,0.1,0.0,0.35
20,snow_and_ice,320,0.07468749999999999,0.05,0.0,0.2
20,flooded_vegetation,320,0.055781250000000004,0.05,0.0,0.15
20,grass,320,0.0359375,0.0,0.0,0.1
20,bare,320,0.03546875,0.0,0.0,0.1
20,trees,320,0.0340625,0.0,0.0,0.1
20,built,320,0.033906250000000006,0.0,0.0,0.1
20,shrub_and_scrub,320,0.029218750000000005,0.0,0.0,0.1
20,crops,320,0.025625,0.0,0.0,0.1
