system:index,region,dw_label_name,latitude,longitude,overlap_at_5,overlap_at_10,overlap_at_20
1_1_1_2_0,sf_bay_urban,water,37.77393311840485,-122.5697755421682,0.4,0.4,0.35
1_1_1_2_1,sf_bay_urban,water,37.33277048237375,-122.44374190780624,0.0,0.1,0.25
1_1_1_2_2,sf_bay_urban,water,37.80860808837186,-122.45146741924964,0.0,0.0,0.05
1_1_1_2_3,sf_bay_urban,water,37.72704106057381,-122.26425851403914,0.2,0.2,0.15
1_1_1_2_4,sf_bay_urban,water,37.60738546472909,-122.17658294230908,0.0,0.0,0.0
1_1_1_2_5,sf_bay_urban,water,37.90894990560801,-122.2269784297482,0.0,0.0,0.05
1_1_1_2_6,sf_bay_urban,water,37.42906988083136,-122.4451792122608,0.2,0.3,0.2
1_1_1_2_7,sf_bay_urban,water,37.935001048847475,-122.43889100527198,0.0,0.0,0.0
1_1_1_2_8,sf_bay_urban,water,37.88119196332872,-122.47123035550028,0.0,0.0,0.0
1_1_1_2_9,sf_bay_urban,water,37.466799122764385,-122.01641332715056,0.0,0.1,0.15
1_1_1_2_10,sf_bay_urban,water,37.55528317825016,-122.23326663673704,0.0,0.0,0.15
1_1_1_2_11,sf_bay_urban,water,37.605319339575615,-122.55827710653146,0.0,0.0,0.05
1_1_1_2_12,sf_bay_urban,water,37.800792745400024,-122.5547736769234,0.0,0.1,0.1
1_1_1_2_13,sf_bay_urban,water,37.707098461266355,-122.23515309883368,0.0,0.0,0.1
1_1_1_2_14,sf_bay_urban,water,37.569027402097184,-122.15520303854704,0.0,0.1,0.1
1_1_1_2_15,sf_bay_urban,water,37.811303034224224,-122.49710183568293,0.2,0.1,0.25
1_1_1_2_16,sf_bay_urban,water,37.21158775054603,-122.45011994632348,0.0,0.1,0.3
1_1_1_2_17,sf_bay_urban,water,37.79513335911007,-122.28896218435244,0.0,0.0,0.0
1_1_1_2_18,sf_bay_urban,water,37.60073793162661,-122.53878366486607,0.2,0.1,0.05
1_1_1_2_19,sf_bay_urban,water,37.43733438144526,-122.08666158236872,0.0,0.0,0.0
1_1_1_2_20,sf_bay_urban,water,37.471021204599744,-122.10408889888063,0.0,0.0,0.15
1_1_1_2_21,sf_bay_urban,water,37.596695512848065,-122.112892388665,0.2,0.1,0.15
1_1_1_2_22,sf_bay_urban,water,37.51225387614083,-122.51138504870045,0.0,0.1,0.05
1_1_1_2_23,sf_bay_urban,water,37.66631494736733,-122.36864275005384,0.0,0.0,0.05
1_1_1_2_24,sf_bay_urban,water,37.192633298051106,-122.47679991026182,0.4,0.3,0.2
1_1_1_2_25,sf_bay_urban,water,37.567590097642594,-122.17092355601912,0.0,0.0,0.05
1_1_1_2_26,sf_bay_urban,water,37.88541404516408,-122.4352079126071,0.0,0.0,0.2
1_1_1_2_27,sf_bay_urban,water,37.666135284310506,-122.38103950097468,0.0,0.0,0.0
1_1_1_2_28,sf_bay_urban,water,37.87661055537971,-122.39280743119664,0.0,0.1,0.1
1_1_1_2_29,sf_bay_urban,water,37.35361139696533,-122.40960592700968,0.0,0.0,0.0
1_1_1_2_30,sf_bay_urban,water,37.582412299830565,-122.09232096865868,0.2,0.1,0.1
1_1_1_2_31,sf_bay_urban,water,37.45314473044576,-122.56878739535568,0.0,0.1,0.2
1_1_1_2_32,sf_bay_urban,water,37.224074332995286,-122.41930773207818,0.0,0.0,0.1
1_1_1_2_33,sf_bay_urban,water,37.60945158988256,-122.5262072508884,0.0,0.0,0.1
1_1_1_2_34,sf_bay_urban,water,37.23638125238773,-122.5421074314173,0.0,0.0,0.05
1_1_1_2_35,sf_bay_urban,water,37.63406542866744,-122.50716296686508,0.0,0.0,0.2
1_1_1_2_36,sf_bay_urban,water,37.86699858183963,-122.36010875485468,0.0,0.0,0.15
1_1_1_2_37,sf_bay_urban,water,37.44281410467839,-122.05962229231672,0.0,0.0,0.0
1_1_1_2_38,sf_bay_urban,water,37.5315676547494,-122.13660791216576,0.2,0.1,0.25
1_1_1_2_39,sf_bay_urban,water,37.427722407905186,-122.58316043990158,0.0,0.1,0.2
1_1_1_2_40,sf_bay_urban,water,37.58465808804087,-122.58468757588456,0.0,0.1,0.15
1_1_1_2_41,sf_bay_urban,water,37.74150393664814,-122.33783053580854,0.0,0.2,0.2
1_1_1_2_42,sf_bay_urban,water,37.48638239595819,-122.5239614626781,0.0,0.0,0.1
1_1_1_2_43,sf_bay_urban,water,37.610799062808745,-122.35112560201352,0.0,0.1,0.05
1_1_1_2_44,sf_bay_urban,water,37.76584828084777,-122.560792389327,0.0,0.0,0.05
1_1_1_2_45,sf_bay_urban,water,37.779323010109565,-122.56115171544064,0.2,0.7,0.4
1_1_1_2_46,sf_bay_urban,water,37.7277597128011,-122.53393276233184,0.0,0.2,0.2
1_1_1_2_47,sf_bay_urban,water,37.86672908725439,-122.45524034344297,0.2,0.1,0.05
1_1_1_2_48,sf_bay_urban,water,37.61026007363827,-122.56043306321337,0.2,0.2,0.3
1_1_1_2_49,sf_bay_urban,water,37.55510351519333,-122.43242313522632,0.0,0.0,0.0
1_1_1_2_50,sf_bay_urban,water,37.5458508677669,-122.1728998496442,0.0,0.0,0.05
1_1_1_2_51,sf_bay_urban,water,37.79872662024655,-122.5428260836446,0.2,0.4,0.4
1_1_1_2_52,sf_bay_urban,water,37.455300687127654,-122.03752373632736,0.2,0.1,0.1
1_1_1_2_53,sf_bay_urban,water,37.53507108435747,-122.25985676914696,0.0,0.0,0.0
1_1_1_2_54,sf_bay_urban,water,37.39367625863706,-122.5149783098369,0.0,0.0,0.2
1_1_1_2_55,sf_bay_urban,water,37.54612036235214,-122.38382427835543,0.0,0.0,0.0
1_1_1_2_56,sf_bay_urban,water,37.2150911801541,-122.52557843018953,0.0,0.1,0.3
1_1_1_2_57,sf_bay_urban,water,37.708356102664126,-122.566900933259,0.2,0.5,0.4
1_1_1_2_58,sf_bay_urban,water,37.35540802753357,-122.53492090914436,0.0,0.2,0.25
1_1_1_2_59,sf_bay_urban,water,37.24419659535957,-122.4487724733973,0.0,0.1,0.1
1_1_1_2_60,sf_bay_urban,water,37.242849122433384,-122.4856932315746,0.0,0.0,0.1
1_1_1_2_61,sf_bay_urban,water,37.22164888172816,-122.4247874553113,0.4,0.2,0.25
1_1_1_2_62,sf_bay_urban,water,37.46149906258808,-122.47096086091504,0.0,0.1,0.2
1_1_1_2_63,sf_bay_urban,water,37.624812781241005,-122.59959960960096,0.2,0.1,0.1
1_1_1_2_64,sf_bay_urban,water,37.32432631870303,-122.43143498841378,0.2,0.2,0.3
1_1_1_2_65,sf_bay_urban,water,37.35127577722661,-122.42308065627148,0.0,0.1,0.15
1_1_1_2_66,sf_bay_urban,water,37.666135284310506,-122.28024852609649,0.2,0.2,0.15
1_1_1_2_67,sf_bay_urban,water,37.72524443000557,-122.31393534925095,0.0,0.0,0.05
1_1_1_2_68,sf_bay_urban,water,37.57845971258044,-122.09151248490296,0.2,0.3,0.2
1_1_1_2_69,sf_bay_urban,water,37.23305748583648,-122.42900953714668,0.0,0.0,0.0
1_1_1_2_70,sf_bay_urban,water,37.62544160193989,-122.3195947355409,0.2,0.1,0.2
1_1_1_2_71,sf_bay_urban,water,37.781029809149395,-122.34043565013248,0.0,0.0,0.05
1_1_1_2_72,sf_bay_urban,water,37.27644611405946,-122.49180177550662,0.0,0.0,0.0
1_1_1_2_73,sf_bay_urban,water,37.494916391157325,-122.46709810519332,0.2,0.1,0.1
1_1_1_2_74,sf_bay_urban,water,37.814626800775464,-122.50940875507536,0.4,0.3,0.35
1_1_1_2_75,sf_bay_urban,water,37.424847798996005,-121.99763853771248,0.2,0.1,0.15
1_1_1_2_76,sf_bay_urban,water,37.5255489423458,-122.19724419384384,0.0,0.0,0.25
1_1_1_2_77,sf_bay_urban,water,37.72982583795458,-122.58944864689042,0.2,0.2,0.3
1_1_1_2_78,sf_bay_urban,water,37.49231127683338,-122.53707686582624,0.2,0.1,0.25
1_1_1_2_79,sf_bay_urban,water,37.44946163778088,-122.060340944544,0.0,0.0,0.0
1_1_1_2_80,sf_bay_urban,trees,37.86062054332238,-122.55378553011089,0.0,0.0,0.0
1_1_1_2_81,sf_bay_urban,trees,37.93823498387031,-122.13759605897827,0.0,0.0,0.1
1_1_1_2_82,sf_bay_urban,trees,37.616997438269166,-121.83288751460496,0.0,0.0,0.0
1_1_1_2_83,sf_bay_urban,trees,37.23251849666601,-122.06492235249304,0.0,0.0,0.0
1_1_1_2_84,sf_bay_urban,trees,37.6608352241342,-121.99449443421804,0.0,0.0,0.0
1_1_1_2_85,sf_bay_urban,trees,37.23736939920026,-122.06537151013508,0.0,0.0,0.0
1_1_1_2_86,sf_bay_urban,trees,37.38442361121062,-121.78339034244996,0.0,0.0,0.05
1_1_1_2_87,sf_bay_urban,trees,37.49716217936762,-121.79309214751844,0.0,0.1,0.05
1_1_1_2_88,sf_bay_urban,trees,37.21805562059169,-122.23102084852673,0.0,0.0,0.0
1_1_1_2_89,sf_bay_urban,trees,37.7976486419056,-122.47724906790388,0.0,0.0,0.0
1_1_1_2_90,sf_bay_urban,trees,37.86798672865216,-121.86720315845832,0.0,0.0,0.0
1_1_1_2_91,sf_bay_urban,trees,37.17349918249936,-122.19014750309928,0.0,0.0,0.0
1_1_1_2_92,sf_bay_urban,trees,37.272673189866154,-122.2436870940328,0.0,0.1,0.05
1_1_1_2_93,sf_bay_urban,trees,37.17915856878931,-121.8827440128736,0.2,0.2,0.1
1_1_1_2_94,sf_bay_urban,trees,37.48907734181055,-122.36621729878672,0.2,0.1,0.05
1_1_1_2_95,sf_bay_urban,trees,37.61618895451346,-121.88921188291924,0.0,0.0,0.0
1_1_1_2_96,sf_bay_urban,trees,37.87894617511842,-122.23479377272002,0.0,0.0,0.0
1_1_1_2_97,sf_bay_urban,trees,37.21158775054603,-122.0407576713502,0.0,0.0,0.0
1_1_1_2_98,sf_bay_urban,trees,37.223804838410054,-122.08181067983448,0.0,0.0,0.05
1_1_1_2_99,sf_bay_urban,trees,37.350467293470906,-122.36271386917863,0.0,0.0,0.0
1_1_1_2_100,sf_bay_urban,trees,37.91820255303444,-122.53797518111035,0.0,0.0,0.0
1_1_1_2_101,sf_bay_urban,trees,37.1955977384887,-121.85624371199206,0.0,0.0,0.0
1_1_1_2_102,sf_bay_urban,trees,37.42035622257541,-122.1851169375082,0.0,0.0,0.0
1_1_1_2_103,sf_bay_urban,trees,37.64673167417352,-121.99135033072363,0.0,0.0,0.05
1_1_1_2_104,sf_bay_urban,trees,37.848493286986766,-121.90196795995374,0.0,0.0,0.05
1_1_1_2_105,sf_bay_urban,trees,37.79019262504741,-121.91373589017572,0.0,0.0,0.0
1_1_1_2_106,sf_bay_urban,trees,37.188770542329394,-122.0677071298738,0.0,0.0,0.0
1_1_1_2_107,sf_bay_urban,trees,37.22128955561452,-122.09663288202243,0.0,0.0,0.0
1_1_1_2_108,sf_bay_urban,trees,37.89781079608493,-121.92370718982944,0.0,0.0,0.0
1_1_1_2_109,sf_bay_urban,trees,37.25030513929158,-122.05602903118024,0.0,0.0,0.1
1_1_1_2_110,sf_bay_urban,trees,37.57747156576791,-122.42595526518066,0.0,0.1,0.05
1_1_1_2_111,sf_bay_urban,trees,37.46356518774155,-121.708381016226,0.0,0.0,0.0
1_1_1_2_112,sf_bay_urban,trees,37.16146175769216,-121.82704846525816,0.4,0.2,0.1
1_1_1_2_113,sf_bay_urban,trees,37.35603684823245,-122.30171826138692,0.0,0.0,0.0
1_1_1_2_114,sf_bay_urban,trees,37.209701288449374,-122.26857042740292,0.0,0.0,0.0
1_1_1_2_115,sf_bay_urban,trees,37.3128278830663,-122.11576699757418,0.0,0.0,0.0
1_1_1_2_116,sf_bay_urban,trees,37.39026266055741,-122.2602160952606,0.0,0.0,0.0
1_1_1_2_117,sf_bay_urban,trees,37.43751404450209,-122.33100333964924,0.0,0.0,0.05
