target,feature_set,feature,feature_family,permutation_mean,gain_importance,embedding_share_positive_importance,dynamic_world_share_positive_importance,region_share_positive_importance
S1_VH,embedding_plus_context,water,dynamic_world,0.117143541013174,271007.26875315607,0.7021215344874974,0.2967520130527941,0.0011264524597085152
S1_VH,embedding_plus_context,A25,embedding,0.1047164824277532,147612.76077770442,0.7021215344874974,0.2967520130527941,0.0011264524597085152
S1_VH,embedding_plus_context,A27,embedding,0.0452949558173541,47484.312425248325,0.7021215344874974,0.2967520130527941,0.0011264524597085152
S1_VH,embedding_plus_context,bare,dynamic_world,0.0299309359169,88513.35927250236,0.7021215344874974,0.2967520130527941,0.0011264524597085152
S1_VH,embedding_plus_context,A49,embedding,0.0255320772614791,38232.100101448596,0.7021215344874974,0.2967520130527941,0.0011264524597085152
S1_VH,embedding_plus_context,A34,embedding,0.0226492169423477,23533.131751939654,0.7021215344874974,0.2967520130527941,0.0011264524597085152
S1_VH,embedding_plus_context,A19,embedding,0.0187407031396754,21761.024178504944,0.7021215344874974,0.2967520130527941,0.0011264524597085152
S1_VH,embedding_plus_context,A08,embedding,0.015672871964701,9990.745180517437,0.7021215344874974,0.2967520130527941,0.0011264524597085152
S1_VH,embedding_plus_context,A59,embedding,0.0140348825970497,22621.22622473538,0.7021215344874974,0.2967520130527941,0.0011264524597085152
S1_VH,embedding_plus_context,A31,embedding,0.010868184320803,21718.024899601936,0.7021215344874974,0.2967520130527941,0.0011264524597085152
S1_VV,embedding_plus_context,water,dynamic_world,0.1129798358388054,319072.5941156298,0.7907485309776655,0.2038311294032454,0.005420339619089174
S1_VV,embedding_plus_context,A27,embedding,0.0844448967145391,102908.58147734404,0.7907485309776655,0.2038311294032454,0.005420339619089174
S1_VV,embedding_plus_context,A49,embedding,0.0547823433327604,62334.95108748973,0.7907485309776655,0.2038311294032454,0.005420339619089174
S1_VV,embedding_plus_context,A25,embedding,0.0411756234076771,94700.01839336751,0.7907485309776655,0.2038311294032454,0.005420339619089174
S1_VV,embedding_plus_context,A17,embedding,0.0367058702893898,25880.629133865237,0.7907485309776655,0.2038311294032454,0.005420339619089174
S1_VV,embedding_plus_context,A19,embedding,0.0314544937227837,46944.443507134914,0.7907485309776655,0.2038311294032454,0.005420339619089174
S1_VV,embedding_plus_context,A34,embedding,0.0314291483736239,36949.22120335698,0.7907485309776655,0.2038311294032454,0.005420339619089174
S1_VV,embedding_plus_context,A39,embedding,0.0236699768163888,18254.22775411606,0.7907485309776655,0.2038311294032454,0.005420339619089174
S1_VV,embedding_plus_context,A31,embedding,0.020650093178445,42295.38424897194,0.7907485309776655,0.2038311294032454,0.005420339619089174
S1_VV,embedding_plus_context,bare,dynamic_world,0.0189393236231864,77726.15017710626,0.7907485309776655,0.2038311294032454,0.005420339619089174
S1_VV_div_VH,embedding_only,A25,embedding,0.1260719967382452,29616.328484654427,1.0,0.0,0.0
S1_VV_div_VH,embedding_only,A24,embedding,0.0470753533358094,7230.689782470465,1.0,0.0,0.0
S1_VV_div_VH,embedding_only,A63,embedding,0.0424988310435006,18093.414022684097,1.0,0.0,0.0
S1_VV_div_VH,embedding_only,A39,embedding,0.0354180006782945,3529.047735631466,1.0,0.0,0.0
S1_VV_div_VH,embedding_only,A07,embedding,0.0330969169621516,4704.700333446264,1.0,0.0,0.0
S1_VV_div_VH,embedding_only,A32,embedding,0.0298702835134595,4486.158390522003,1.0,0.0,0.0
S1_VV_div_VH,embedding_only,A30,embedding,0.0280020285762157,4846.1523777246475,1.0,0.0,0.0
S1_VV_div_VH,embedding_only,A31,embedding,0.0206798580147299,20198.4346100688,1.0,0.0,0.0
S1_VV_div_VH,embedding_only,A03,embedding,0.0191689546242216,3413.19250613451,1.0,0.0,0.0
S1_VV_div_VH,embedding_only,A62,embedding,0.0189669526784099,2608.5079387426376,1.0,0.0,0.0
