sample_percent,train_rows,method,band,count,r2,rmse,mae
0.0,0,random_sar_draw,S1_VH,253038,-1.004220724105835,10.924794517697174,8.352588653564453
0.0,0,random_sar_draw,S1_VV,253038,-1.0122954845428467,8.768059975412,6.437136650085449
0.0,0,random_sar_draw,S1_VV_div_VH,253038,-0.9981987476348877,3.72966274321977,3.017115592956543
0.001,13,lightgbm,S1_VH,253038,-0.08577141311498471,8.040993071871462,6.417545227512482
0.001,13,lightgbm,S1_VV,253038,-0.11466466714071921,6.525739202542118,4.803773453129934
0.001,13,lightgbm,S1_VV_div_VH,253038,-0.004006294531307741,2.643738105543062,2.2434493448352923
0.0025,32,lightgbm,S1_VH,253038,-0.000543475070140742,7.718954277567862,6.948300539563445
0.0025,32,lightgbm,S1_VV,253038,-2.946727420671813e-05,6.181074734435555,5.3008549739110835
0.0025,32,lightgbm,S1_VV_div_VH,253038,-0.006544870048543983,2.647078269799094,2.2616093178553642
0.005,63,lightgbm,S1_VH,253038,0.9126464171869533,2.280766616184339,1.626367491040323
0.005,63,lightgbm,S1_VV,253038,0.9020601015735235,1.9343605239334236,1.42009619535944
0.005,63,lightgbm,S1_VV_div_VH,253038,0.6153622852736694,1.6363497928763757,1.2498752122989167
0.01,127,lightgbm,S1_VH,253038,0.9222212046743914,2.152142840010149,1.3583826634772236
0.01,127,lightgbm,S1_VV,253038,0.9200291137030495,1.747928045111777,1.0670584578085351
0.01,127,lightgbm,S1_VV_div_VH,253038,0.6858711012968691,1.478782011014399,1.109368482425927
0.02,253,lightgbm,S1_VH,253038,0.9598949643859226,1.5453965541927126,1.1017189173684983
0.02,253,lightgbm,S1_VV,253038,0.9491045221510409,1.3944315296262881,0.9086555679877737
0.02,253,lightgbm,S1_VV_div_VH,253038,0.7435580561132404,1.33611777952909,0.9953452661395884
0.05,633,lightgbm,S1_VH,253038,0.9664990829481597,1.412436181735482,1.0079351848727516
0.05,633,lightgbm,S1_VV,253038,0.9523378993880549,1.349410811839423,0.8518274134757792
0.05,633,lightgbm,S1_VV_div_VH,253038,0.7628042797376152,1.2850015081258193,0.9442379540721532
0.075,949,lightgbm,S1_VH,253038,0.9694788461465624,1.3481585192537509,0.9523370362678769
0.075,949,lightgbm,S1_VV,253038,0.9621134148722568,1.2030961225823973,0.7642874364448466
0.075,949,lightgbm,S1_VV_div_VH,253038,0.7793890927645722,1.2392636274908886,0.9128766345378853
0.1,1265,lightgbm,S1_VH,253038,0.9718792603277927,1.2940583408681356,0.9195926276638728
0.1,1265,lightgbm,S1_VV,253038,0.965325366009654,1.1509687672369135,0.7370261996093502
0.1,1265,lightgbm,S1_VV_div_VH,253038,0.7809040466226194,1.2350012329776883,0.9117298355352007
0.2,2530,lightgbm,S1_VH,253038,0.9749734225442127,1.220790713451089,0.871662337995494
0.2,2530,lightgbm,S1_VV,253038,0.969039502320651,1.0875808765323103,0.6925541678055391
0.2,2530,lightgbm,S1_VV_div_VH,253038,0.7956788896623548,1.1926330300578145,0.8785650983864658
1.0,12652,lightgbm,S1_VH,253038,0.9796871805000064,1.0998300743137823,0.7919563186557724
1.0,12652,lightgbm,S1_VV,253038,0.9747854618416139,0.9814837303594324,0.633142275847161
1.0,12652,lightgbm,S1_VV_div_VH,253038,0.8221744370475773,1.1126211445026664,0.8182128147901764
