trial,objective,metric,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,random_state,n_jobs,verbosity,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_best_iteration_mean,cv_best_iteration_std
7,regression,rmse,5000,0.012020338353108924,31,3,29,0.7554709158757927,0.6356745158869479,0.7838134236608695,0.0060780830996819525,42,1,-1,0.6963580376493926,0.10136313602929876,1.0450249971555803,0.047935266318377794,0.7853888763082015,0.0237875905883247,2523.25,613.0588776781558
17,regression,rmse,5000,0.049841862151652025,26,4,35,0.6002827962600487,0.8634823758940222,0.021331389526170568,0.04631329040528319,42,1,-1,0.6939331960837166,0.10538998957018422,1.047407664306685,0.050356384974712884,0.7851659606885782,0.021275460277001255,412.5,162.98849652659538
16,regression,rmse,5000,0.039656333466158586,20,4,34,0.6062041527976909,0.8724519137563551,0.012332068759688038,0.05635085578136538,42,1,-1,0.6942630507193919,0.10258449727984749,1.0484381563674738,0.051056303703756745,0.7864481498037356,0.026022633451699258,522.25,49.139469879110415
18,regression,rmse,5000,0.05054241518695258,47,3,36,0.6739421536917852,0.8839059210743639,0.04963060846348546,0.003771821982391976,42,1,-1,0.6936193706917526,0.10417493464873673,1.0485873805521289,0.04795259475645973,0.7923190233649174,0.02237178595267904,589.25,162.49211519332255
10,regression,rmse,5000,0.07137454446124092,8,6,6,0.7681616032737589,0.6901464801259053,3.6509215470185543,0.2414692864254169,42,1,-1,0.6931157588866425,0.10204781849698835,1.0513748166076302,0.04134587686090159,0.7860060972899461,0.017592207353518203,372.25,116.05036622087843
11,regression,rmse,5000,0.0716459735889611,8,6,5,0.7734976846635433,0.6990555886129024,4.658796879869789,0.25439059319563956,42,1,-1,0.6922914255832592,0.10035403038855444,1.0534591290940518,0.04655958754858951,0.789031266369883,0.022831589720683994,379.0,60.625902055144714
13,regression,rmse,5000,0.048222917368827715,12,8,5,0.7205138627890653,0.7574852070104715,0.6397444671620413,0.35155934356045226,42,1,-1,0.6919435187475297,0.09989241865397934,1.0545097142430535,0.04491283943181594,0.7867523423578964,0.02429411898012302,401.25,35.59757716474535
5,regression,rmse,5000,0.012888771013236352,67,3,74,0.7035119926400067,0.831261142176991,0.0029155533757373392,0.039841905944346875,42,1,-1,0.6888602205233156,0.10910499836223593,1.0545149081728433,0.04184251386076837,0.7974586345692536,0.017867616287042438,2160.5,495.44550658977624
3,regression,rmse,5000,0.025815006344207535,103,4,44,0.836965827544817,0.5232252063599989,0.071587143831198,0.0007122305833333872,42,1,-1,0.6911150288881663,0.10134165451183816,1.055095747182137,0.05599345934767057,0.7912466523806693,0.031826409332559015,767.5,107.92010934019665
15,regression,rmse,5000,0.014918263721993218,45,5,17,0.8819708330406043,0.7939329982321474,1.6147225255037496,0.00011035517402844452,42,1,-1,0.691145474272611,0.10002651410152269,1.0556405236152835,0.058571697843526734,0.7889896476787335,0.035584279892877144,1351.25,242.60603351936655
1,regression,rmse,5000,0.034902854606300035,93,3,78,0.9329770563201687,0.6061695553391381,0.0007151383480402494,0.0008260808399079611,42,1,-1,0.688197034301551,0.10650083092450541,1.0572765672928632,0.04731899220185016,0.7953446515100819,0.023119208572720023,1125.25,177.24330029651333
19,regression,rmse,5000,0.025947086203953623,58,5,51,0.6036941518131597,0.7606562735595005,0.011952430186978504,1.1985307654447117,42,1,-1,0.6877165937590319,0.10689029204084771,1.0580402941643476,0.054096801836360627,0.7937435133160009,0.032504351581315066,781.5,117.5935797567197
12,regression,rmse,5000,0.07850705990587499,29,5,21,0.7716214236084014,0.6929964536410342,4.838144105736269,0.18340281663501531,42,1,-1,0.6845477161131202,0.11133341735477334,1.060992473512008,0.0458351513522935,0.7938832550964368,0.021366951662590797,252.75,83.55350082432214
2,regression,rmse,5000,0.018826002986047252,71,6,27,0.8447411578889518,0.569746930326021,0.002359277035307129,0.0067890532716984855,42,1,-1,0.6870001385284494,0.10116989499303082,1.062938348975037,0.05561196099396848,0.7916886218997304,0.03142088395317787,773.0,181.5447603209743
0,regression,rmse,5000,0.021789307659775742,123,8,50,0.6624074561769746,0.5779972601681014,0.00018747059221802545,2.142302175774105,42,1,-1,0.6858245861190417,0.1039437657940168,1.0634994058360756,0.05100188761143194,0.7928821827054653,0.0288909946288787,740.75,189.1195058686438
