feature,gain_importance,split_importance,permutation_mean,permutation_std
A25,20973.679803192616,174,0.06609515451308869,0.006096159004831986
A39,4574.804628491402,279,0.04947760389290118,0.007611448676054015
A63,15731.54179084301,101,0.04132072919315384,0.005442664439174405
A24,6559.241161227226,147,0.04128811404912778,0.003486074511673808
A30,4886.324805796146,183,0.02709833385719492,0.003121347409950539
trees,7301.071877539158,193,0.027030147072700496,0.0047416483563981135
A32,4080.9950832128525,147,0.021833581873438646,0.0036334376168413044
bare,9769.171006262302,156,0.021614432413307093,0.004024554506237585
A31,19430.4022436738,80,0.019724399807236104,0.004075071702443704
A03,2912.7854912281036,139,0.016792319138156465,0.003670775965535935
A07,2864.567545056343,167,0.015331202992544224,0.004244512958684219
A02,1087.3131294250488,139,0.011651795531093922,0.0010255196098530191
A28,769.6912682652473,162,0.01069717677625639,0.002864294909638487
A62,1191.3675354719162,130,0.01066065160418711,0.0021143312483565156
A52,2209.643667459488,145,0.008304251109558524,0.0025702047128653986
A56,2960.730780661106,77,0.00817936067693692,0.0017630200409033574
A08,3145.4362176656723,175,0.007405982867261129,0.002852209737062099
A40,964.9459413290024,166,0.006747616336481121,0.0017458053364209454
A17,614.5579307079315,106,0.006713416371953107,0.001263070331475178
A04,1310.3816632032394,149,0.00547051022779157,0.0015602612165547696
A09,1229.0498260259628,92,0.005201233678407124,0.001004907162798384
A27,3452.5910764038563,114,0.005055925438633957,0.0008774868359410418
A59,1175.1945908665657,123,0.004745331614770476,0.0017553271657612462
A21,1670.5864208340645,187,0.004587075067942481,0.0015707920707092782
A37,1291.4521641135216,94,0.00438800922152297,0.0015265104767957435
A58,617.8754063844681,101,0.0032656672244669614,0.0013182441598130876
A57,763.6445369124413,112,0.0028244880927435047,0.0013704980071112985
crops,459.37023305892944,81,0.002484474335692366,0.0003343460159829145
A54,602.6996892690659,65,0.0023786559105191895,0.0009869208018683559
A01,884.3004359006882,118,0.002226565805197789,0.001581061093015054
grass,3413.281395316124,118,0.0020114358156225532,0.0016429885860830438
A45,712.8524993658066,65,0.0019696615297276955,0.0006739631183856703
A48,284.0687730908394,72,0.0019300501138502346,0.00036241243379436994
A12,880.5517911314964,104,0.0018894853088141205,0.001283986489798227
A47,870.6471470594406,90,0.0017677880836993397,0.0004774787557695581
A46,763.288295507431,41,0.0017352533925695912,0.0005631375827571845
water,2948.1316536664963,83,0.0017259098556160369,0.0013095654277062556
A49,430.33476960659027,85,0.0017203677381988248,0.0008333300324080506
A51,501.38685512542725,89,0.0015320844420606994,0.0005552146195770704
A36,3054.7527601122856,116,0.0014628818975760739,0.001052594186510721
A61,248.6338437795639,63,0.0014319350550283882,0.0005048028619612706
A35,368.95619797706604,59,0.0013879853482620553,0.00040772222723113924
A43,1704.0424227714539,71,0.001291809968317692,0.0012571145704690938
A29,537.0909259319305,74,0.0012025425230239417,0.00032411607505843137
A10,405.3330609500408,138,0.001171922867256181,0.00121747131272588
snow_and_ice,369.53076857328415,78,0.0011680063742505852,0.0006965173840103736
A33,226.91333305835724,42,0.0009018519501890699,0.00043771989462649977
A16,885.2054843902588,83,0.0008741170052681158,0.0009661161051419556
A44,532.9250733852386,47,0.0007927417058557262,0.0003137366432869845
A06,356.12915098667145,60,0.000759654128026499,0.0006074081799620016
A19,860.5863760709763,69,0.0006605419143091762,0.000985923043960295
A23,236.05855065584183,50,0.0005868977660298702,0.0002894301893824103
A60,160.85526156425476,35,0.0005410427133799245,0.0002945503067434551
flooded_vegetation,283.89474284648895,77,0.0005355128947784227,0.00048474134173129486
shrub_and_scrub,577.8957991600037,95,0.0005170335006303928,0.0003602280548353417
A42,253.4464128613472,60,0.0005128741380643232,0.00032719431279769893
A00,327.19627571105957,77,0.0004965300227722569,0.000545148115058113
region_sf_bay_urban,29.569350123405457,8,0.0004404374268755729,0.00012593558569498668
A55,334.1990097761154,49,0.00042860837091767133,0.0002611782701795835
A26,147.50602996349335,45,0.0004243110570077757,0.00018021189589062197
A20,170.53720861673355,40,0.0003583041976989665,0.0002939067920008491
A05,420.28659999370575,87,0.0003055545474497046,0.0014032604255337265
A41,225.87651979923248,30,0.000290169968237719,0.00016076006883990182
built,366.2443274259567,82,0.00027104875387971015,0.0005179999748375414
A53,474.6567421555519,76,0.00023394516994674764,0.0006169846088563568
A13,204.73564338684082,48,0.00017895789411787044,0.0002233057375766712
A14,397.2802128493786,53,0.0001513851844262226,0.00036074394150067187
A22,216.62490111589432,72,0.00013899342296500584,0.0007000827053404086
region_california_coast,27.469970226287842,5,0.00011598550957641063,0.0001550808752740522
A50,231.78539049625397,41,6.491975528153394e-05,0.00028284974868286695
A18,66.85449981689453,21,4.430681541627291e-05,0.00016607426852580616
A38,453.20647954940796,43,3.2078442549421385e-05,0.00019945393265672327
region_amazon_forest,0.0,0,0.0,0.0
region_iowa_ag,0.0,0,0.0,0.0
A11,362.42385506629944,31,-0.00010373397070867485,0.000332926137792608
A34,578.7094610929489,47,-0.00026898065845671893,0.00026479989953999276
A15,664.8599066734314,63,-0.0004762951619275646,0.0005505698080432613
