feature,gain_importance,split_importance,permutation_mean,permutation_std
water,319072.5941156298,695,0.11298088352575704,0.007408516625637337
A27,102908.58147734404,713,0.0844448721219068,0.00533953823501931
A49,62334.51302950084,768,0.05476908934942938,0.003709459345153301
A25,94700.01839336753,338,0.04117681769767464,0.002874841044431895
A17,25880.629133865237,639,0.03670710797169643,0.0027836771330139645
A19,46944.443507134914,771,0.03145047437437154,0.003253538977045603
A34,36949.22120335698,492,0.031433862322143756,0.002868200492457918
A39,18254.22775411606,558,0.02367339531724675,0.0026238735603055555
A31,42295.38424897194,379,0.02065283857983242,0.0019029763830689533
bare,77726.15017710626,379,0.01893694769131502,0.0015747723262559967
A26,20460.453710813075,630,0.018881047229588676,0.002130138965777623
A40,10509.20746023953,574,0.01785784954449544,0.002944433501434738
A01,10959.428250581026,640,0.01661808399245033,0.0020637446356953377
A08,14018.81249128282,383,0.011347585856395837,0.0018557337023449257
A10,13753.700782611966,571,0.009823887859770208,0.0011004967579457572
A35,12423.395307570696,545,0.00847023564871966,0.0009811222631692987
A18,30718.717755660415,258,0.008411152507890252,0.0018597457088324093
A30,7340.854893535376,494,0.008125956814765523,0.0012785786684166812
A45,10028.490825787187,482,0.007977941713691183,0.0009587520257213169
A15,30090.89416845143,328,0.007461203643981085,0.0017916143038036137
A14,4282.26035939157,405,0.007222061616867126,0.00097715795757344
A60,1870.8090978264809,486,0.006126373948983322,0.0009197592001236042
A47,4839.222307577729,784,0.005948419949438366,0.0009092480568892392
A61,6977.041554123163,418,0.005824797655769642,0.0010745061593144347
A42,16715.963420823216,251,0.005261583411198756,0.0008741020600329773
A50,2328.656128168106,366,0.003906835888684091,0.0006195980025537154
A46,26901.485278993845,197,0.0037424448361367156,0.0005509014308286889
A59,3628.7613974660635,482,0.0035467808061427466,0.0007937777957382498
A62,4256.121110722423,758,0.0034885909290488515,0.0007606125840494464
A38,10233.215238034725,532,0.003424480085331638,0.0009002746005445176
A57,3320.0814364403486,286,0.003296586378469135,0.0007198817842668819
A23,3339.9713179171085,418,0.0030381262673428444,0.001121247435721763
region_sf_bay_urban,1559.9192224144936,172,0.0028325408250932773,0.00021192507136266625
A44,22620.669160693884,297,0.002540452541038507,0.0007054820934357917
A36,3254.9883287101984,390,0.002500204487505886,0.00047765140124259416
A11,7849.174293577671,227,0.002430854629075374,0.00048564997527098403
A32,2362.590766325593,451,0.0021216369400467007,0.0008205835509979968
A43,8011.987684264779,532,0.0021183493759054485,0.0011474216687947082
A53,2861.437766700983,322,0.0020466907622593623,0.0007639604925298076
A07,2737.4445868991315,373,0.0019574066357771038,0.0008015231899838212
A37,2806.5560803711414,540,0.001611559647738081,0.0009712780383030229
A33,7915.817616432905,189,0.0015893843518789863,0.00031799077452709565
A21,3718.7441041767597,405,0.0014850652452695124,0.00044080898935229095
trees,6241.0573743879795,423,0.001358936379841691,0.0003244081246949826
A52,10621.042545586824,210,0.001317504435231953,0.00039869072914036375
A58,1771.1105028539896,300,0.0012151019839282463,0.00030109057218155567
A48,3329.6460981070995,188,0.0011844156582920483,0.0002513033602498134
A29,808.8276975750923,304,0.0011451867399374204,0.0002206456859667977
A04,1941.1265293955803,420,0.0011236592363754738,0.0003091753218760277
A28,1381.1126618087292,347,0.0011051714677424718,0.000361409751238575
A03,3287.7140707969666,308,0.0008792722960838551,0.0008325392697512698
region_california_coast,241.26289182901382,53,0.0007895500526815868,0.00010965246412812376
crops,7972.856103360653,318,0.0007834178146141734,0.00045508098913552984
grass,5390.789138749242,292,0.0007691862585850751,0.00028783738861994345
A02,8953.805829763412,183,0.000658097674543201,0.0001778205199583964
A51,1032.3972604125738,173,0.0006101660881048798,0.00018340989112118177
A56,1780.4262385368347,166,0.0006061733776903,0.00020323277618936088
built,1253.8617136478424,247,0.0005928528802588206,6.170719208529327e-05
A16,2376.8761326670647,182,0.0005562288005472538,0.00023661542526248912
A06,1563.7814126759768,214,0.0005317135728546751,0.0001362400709483758
A24,6399.080069124699,236,0.000526301064792889,0.0005977411719146124
snow_and_ice,1416.602591395378,345,0.0005157098829694951,0.00022900793624892554
A20,1041.610669925809,349,0.00048072033858266306,0.0002489732695337504
A05,1110.347286850214,148,0.00047824048490232587,0.00018271203764449412
A09,2258.164766341448,137,0.0004336448950027605,9.171756253924735e-05
flooded_vegetation,510.7723382860422,157,0.00041771663356348076,9.275209561365994e-05
A22,1269.7389483302832,295,0.0003371724294166656,0.00019043192083057723
A55,2055.8070967793465,158,0.0003021148620609426,9.661908728833318e-05
A12,1637.3580846190453,214,0.00029231078069942297,0.0001515121078984025
A41,620.9446384906769,106,0.00023905146928893117,0.00015356376665230133
A54,449.74616849422455,208,0.00023062955675875462,0.00014085245165326957
A00,444.82171100378036,145,0.00017870723195225757,9.525951136189788e-05
region_amazon_forest,1075.4388160705566,4,4.411990052866077e-06,8.356133782011438e-05
region_iowa_ag,0.0,0,0.0,0.0
A63,2223.0800659805536,237,-2.557987229310221e-05,0.00021926750265864123
shrub_and_scrub,568.1635530292988,258,-5.845421130585837e-05,0.00023875439137742866
A13,358.07760429382324,166,-8.750210187027374e-05,0.00013046459666208823
